ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,"2016",0,"Total",87384,8457,"Census Tract 317.03, King County, WA","14000US53033031703"
2016,"2016",0,"Total",76467,8813,"Census Tract 218.03, King County, WA","14000US53033021803"
2016,"2016",0,"Total",49857,5660,"Census Tract 84, King County, WA","14000US53033008400"
2016,"2016",0,"Total",49522,8078,"Census Tract 300.05, King County, WA","14000US53033030005"
2016,"2016",0,"Total",80776,11111,"Census Tract 218.04, King County, WA","14000US53033021804"
2016,"2016",0,"Total",52878,6765.999999999999,"Census Tract 83, King County, WA","14000US53033008300"
2016,"2016",0,"Total",92619,13570,"Census Tract 317.04, King County, WA","14000US53033031704"
2016,"2016",0,"Total",43571,4484,"Census Tract 300.04, King County, WA","14000US53033030004"
2016,"2016",0,"Total",76898,10624,"Census Tract 219.03, King County, WA","14000US53033021903"
2016,"2016",0,"Total",67500,17843,"Census Tract 82, King County, WA","14000US53033008200"
2016,"2016",0,"Total",109712,17400,"Census Tract 317.05, King County, WA","14000US53033031705"
2016,"2016",0,"Total",89044,9375,"Census Tract 219.04, King County, WA","14000US53033021904"
2016,"2016",0,"Total",76320,19214,"Census Tract 81, King County, WA","14000US53033008100"
2016,"2016",0,"Total",63438,10160,"Census Tract 300.03, King County, WA","14000US53033030003"
2016,"2016",0,"Total",88365,12726,"Census Tract 219.05, King County, WA","14000US53033021905"
2016,"2016",0,"Total",42480,14443.999999999998,"Census Tract 80.02, King County, WA","14000US53033008002"
2016,"2016",0,"Total",78186,6897.999999999999,"Census Tract 317.06, King County, WA","14000US53033031706"
2016,"2016",0,"Total",84301,7819.999999999999,"Census Tract 299.02, King County, WA","14000US53033029902"
2016,"2016",0,"Total",79873,9675,"Census Tract 219.06, King County, WA","14000US53033021906"
2016,"2016",0,"Total",91005,9478,"Census Tract 80.01, King County, WA","14000US53033008001"
2016,"2016",0,"Total",108600,6977.000000000001,"Census Tract 318, King County, WA","14000US53033031800"
2016,"2016",0,"Total",85833,15893.000000000002,"Census Tract 220.01, King County, WA","14000US53033022001"
2016,"2016",0,"Total",70096,17871,"Census Tract 79, King County, WA","14000US53033007900"
2016,"2016",0,"Total",72083,9754,"Census Tract 299.01, King County, WA","14000US53033029901"
2016,"2016",0,"Total",84864,10762,"Census Tract 220.03, King County, WA","14000US53033022003"
2016,"2016",0,"Total",155000,30651.999999999996,"Census Tract 78, King County, WA","14000US53033007800"
2016,"2016",0,"Total",85327,9700,"Census Tract 319.03, King County, WA","14000US53033031903"
2016,"2016",0,"Total",76825,7032.000000000001,"Census Tract 298.02, King County, WA","14000US53033029802"
2016,"2016",0,"Total",87568,14789,"Census Tract 220.05, King County, WA","14000US53033022005"
2016,"2016",0,"Total",110872,9385,"Census Tract 77, King County, WA","14000US53033007700"
2016,"2016",0,"Total",91620,14582.000000000002,"Census Tract 319.04, King County, WA","14000US53033031904"
2016,"2016",0,"Total",82862,10319,"Census Tract 220.06, King County, WA","14000US53033022006"
2016,"2016",0,"Total",69572,10657,"Census Tract 76, King County, WA","14000US53033007600"
2016,"2016",0,"Total",60721,8960,"Census Tract 298.01, King County, WA","14000US53033029801"
2016,"2016",0,"Total",102396,14498.000000000002,"Census Tract 221.01, King County, WA","14000US53033022101"
2016,"2016",0,"Total",62980,5788,"Census Tract 75, King County, WA","14000US53033007500"
2016,"2016",0,"Total",103542,13899.999999999998,"Census Tract 319.06, King County, WA","14000US53033031906"
2016,"2016",0,"Total",42400,5770,"Census Tract 297, King County, WA","14000US53033029700"
2016,"2016",0,"Total",96767,8697,"Census Tract 221.02, King County, WA","14000US53033022102"
2016,"2016",0,"Total",48378,4875,"Census Tract 74.02, King County, WA","14000US53033007402"
2016,"2016",0,"Total",94684,8734,"Census Tract 319.07, King County, WA","14000US53033031907"
2016,"2016",0,"Total",93125,13284,"Census Tract 222.01, King County, WA","14000US53033022201"
2016,"2016",0,"Total",69130,7789,"Census Tract 74.01, King County, WA","14000US53033007401"
2016,"2016",0,"Total",103387,6651,"Census Tract 296.02, King County, WA","14000US53033029602"
2016,"2016",0,"Total",92244,14167,"Census Tract 222.02, King County, WA","14000US53033022202"
2016,"2016",0,"Total",84153,21619,"Census Tract 73, King County, WA","14000US53033007300"
2016,"2016",0,"Total",65795,6324,"Census Tract 319.08, King County, WA","14000US53033031908"
2016,"2016",0,"Total",75887,4341,"Census Tract 296.01, King County, WA","14000US53033029601"
2016,"2016",0,"Total",121538,15365.999999999998,"Census Tract 222.03, King County, WA","14000US53033022203"
2016,"2016",0,"Total",91300,5023,"Census Tract 72, King County, WA","14000US53033007200"
2016,"2016",0,"Total",102872,22011,"Census Tract 319.09, King County, WA","14000US53033031909"
2016,"2016",0,"Total",138750,22319,"Census Tract 223, King County, WA","14000US53033022300"
2016,"2016",0,"Total",77358,5901,"Census Tract 71, King County, WA","14000US53033007100"
2016,"2016",0,"Total",44608,6719,"Census Tract 295.04, King County, WA","14000US53033029504"
2016,"2016",0,"Total",113540,8920,"Census Tract 224, King County, WA","14000US53033022400"
2016,"2016",0,"Total",72218,9045,"Census Tract 70, King County, WA","14000US53033007000"
2016,"2016",0,"Total",88448,15509,"Census Tract 320.02, King County, WA","14000US53033032002"
2016,"2016",0,"Total",36582,11270,"Census Tract 295.03, King County, WA","14000US53033029503"
2016,"2016",0,"Total",103506,8492,"Census Tract 225, King County, WA","14000US53033022500"
2016,"2016",0,"Total",108341,23713,"Census Tract 69, King County, WA","14000US53033006900"
2016,"2016",0,"Total",95725,8422,"Census Tract 320.03, King County, WA","14000US53033032003"
2016,"2016",0,"Total",107029,6877.999999999999,"Census Tract 226.03, King County, WA","14000US53033022603"
2016,"2016",0,"Total",113750,14402,"Census Tract 68, King County, WA","14000US53033006800"
2016,"2016",0,"Total",73199,19408,"Census Tract 295.02, King County, WA","14000US53033029502"
2016,"2016",0,"Total",95625,9321,"Census Tract 226.04, King County, WA","14000US53033022604"
2016,"2016",0,"Total",100625,14194.000000000002,"Census Tract 67, King County, WA","14000US53033006700"
2016,"2016",0,"Total",89958,5504,"Census Tract 320.05, King County, WA","14000US53033032005"
2016,"2016",0,"Total",47257,6861,"Census Tract 294.08, King County, WA","14000US53033029408"
2016,"2016",0,"Total",79508,21332,"Census Tract 226.05, King County, WA","14000US53033022605"
2016,"2016",0,"Total",85625,12494,"Census Tract 66, King County, WA","14000US53033006600"
2016,"2016",0,"Total",87246,5403,"Census Tract 320.06, King County, WA","14000US53033032006"
2016,"2016",0,"Total",100893,14916.000000000002,"Census Tract 226.06, King County, WA","14000US53033022606"
2016,"2016",0,"Total",94225,11041,"Census Tract 65, King County, WA","14000US53033006500"
2016,"2016",0,"Total",48023,6760.999999999999,"Census Tract 294.07, King County, WA","14000US53033029407"
2016,"2016",0,"Total",102625,22619,"Census Tract 227.01, King County, WA","14000US53033022701"
2016,"2016",0,"Total",155000,28376,"Census Tract 64, King County, WA","14000US53033006400"
2016,"2016",0,"Total",100260,20096,"Census Tract 320.07, King County, WA","14000US53033032007"
2016,"2016",0,"Total",92059,15235.000000000002,"Census Tract 294.06, King County, WA","14000US53033029406"
2016,"2016",0,"Total",128009,13967,"Census Tract 227.02, King County, WA","14000US53033022702"
2016,"2016",0,"Total",152037,13110,"Census Tract 63, King County, WA","14000US53033006300"
2016,"2016",0,"Total",87781,11479,"Census Tract 320.08, King County, WA","14000US53033032008"
2016,"2016",0,"Total",108542,17828,"Census Tract 227.03, King County, WA","14000US53033022703"
2016,"2016",0,"Total",144150,21458,"Census Tract 62, King County, WA","14000US53033006200"
2016,"2016",0,"Total",84750,13364,"Census Tract 294.05, King County, WA","14000US53033029405"
2016,"2016",0,"Total",84087,13014,"Census Tract 61, King County, WA","14000US53033006100"
2016,"2016",0,"Total",90095,11200,"Census Tract 228.01, King County, WA","14000US53033022801"
2016,"2016",0,"Total",99643,12169,"Census Tract 320.10, King County, WA","14000US53033032010"
2016,"2016",0,"Total",74318,9731,"Census Tract 294.03, King County, WA","14000US53033029403"
2016,"2016",0,"Total",110667,17680,"Census Tract 228.02, King County, WA","14000US53033022802"
2016,"2016",0,"Total",102879,19725,"Census Tract 60, King County, WA","14000US53033006000"
2016,"2016",0,"Total",105313,8336,"Census Tract 320.11, King County, WA","14000US53033032011"
2016,"2016",0,"Total",89643,10813,"Census Tract 293.07, King County, WA","14000US53033029307"
2016,"2016",0,"Total",103056,10350,"Census Tract 228.03, King County, WA","14000US53033022803"
2016,"2016",0,"Total",88706,11827,"Census Tract 59, King County, WA","14000US53033005900"
2016,"2016",0,"Total",66455,11649,"Census Tract 58.02, King County, WA","14000US53033005802"
2016,"2016",0,"Total",51907,4408,"Census Tract 111.01, King County, WA","14000US53033011101"
2016,"2016",0,"Total",101065,15839.000000000002,"Census Tract 321.02, King County, WA","14000US53033032102"
2016,"2016",0,"Total",80500,12549,"Census Tract 293.06, King County, WA","14000US53033029306"
2016,"2016",0,"Total",130313,26671,"Census Tract 229.02, King County, WA","14000US53033022902"
2016,"2016",0,"Total",69865,8705,"Census Tract 58.01, King County, WA","14000US53033005801"
2016,"2016",0,"Total",65885,13337,"Census Tract 321.03, King County, WA","14000US53033032103"
2016,"2016",0,"Total",89167,17398,"Census Tract 293.05, King County, WA","14000US53033029305"
2016,"2016",0,"Total",108629,12136,"Census Tract 230, King County, WA","14000US53033023000"
2016,"2016",0,"Total",102760,14453.999999999998,"Census Tract 57, King County, WA","14000US53033005700"
2016,"2016",0,"Total",159652,11943,"Census Tract 56, King County, WA","14000US53033005600"
2016,"2016",0,"Total",95238,12986,"Census Tract 231, King County, WA","14000US53033023100"
2016,"2016",0,"Total",88264,17177,"Census Tract 321.04, King County, WA","14000US53033032104"
2016,"2016",0,"Total",91467,11882,"Census Tract 293.04, King County, WA","14000US53033029304"
2016,"2016",0,"Total",86168,19946,"Census Tract 232.01, King County, WA","14000US53033023201"
2016,"2016",0,"Total",86250,16894,"Census Tract 54, King County, WA","14000US53033005400"
2016,"2016",0,"Total",137198,19145,"Census Tract 322.03, King County, WA","14000US53033032203"
2016,"2016",0,"Total",70369,8802,"Census Tract 293.03, King County, WA","14000US53033029303"
2016,"2016",0,"Total",52917,15339,"Census Tract 232.02, King County, WA","14000US53033023202"
2016,"2016",0,"Total",10865,7410,"Census Tract 53.02, King County, WA","14000US53033005302"
2016,"2016",0,"Total",14155,4738,"Census Tract 53.01, King County, WA","14000US53033005301"
2016,"2016",0,"Total",85032,15115,"Census Tract 233, King County, WA","14000US53033023300"
2016,"2016",0,"Total",156343,16424,"Census Tract 322.07, King County, WA","14000US53033032207"
2016,"2016",0,"Total",30453,3170,"Census Tract 292.06, King County, WA","14000US53033029206"
2016,"2016",0,"Total",75357,12759,"Census Tract 234.01, King County, WA","14000US53033023401"
2016,"2016",0,"Total",40208,9794,"Census Tract 52, King County, WA","14000US53033005200"
2016,"2016",0,"Total",83603,7462,"Census Tract 322.08, King County, WA","14000US53033032208"
2016,"2016",0,"Total",62786,11707,"Census Tract 292.05, King County, WA","14000US53033029205"
2016,"2016",0,"Total",96333,9018,"Census Tract 234.03, King County, WA","14000US53033023403"
2016,"2016",0,"Total",98851,12322,"Census Tract 51, King County, WA","14000US53033005100"
2016,"2016",0,"Total",66594,8141.000000000001,"Census Tract 50, King County, WA","14000US53033005000"
2016,"2016",0,"Total",145167,14108,"Census Tract 234.04, King County, WA","14000US53033023404"
2016,"2016",0,"Total",121389,11816,"Census Tract 322.10, King County, WA","14000US53033032210"
2016,"2016",0,"Total",62174,5352,"Census Tract 292.04, King County, WA","14000US53033029204"
2016,"2016",0,"Total",115074,16782,"Census Tract 235, King County, WA","14000US53033023500"
2016,"2016",0,"Total",72256,5372,"Census Tract 49, King County, WA","14000US53033004900"
2016,"2016",0,"Total",126905,15804.999999999998,"Census Tract 322.11, King County, WA","14000US53033032211"
2016,"2016",0,"Total",38451,7522,"Census Tract 292.03, King County, WA","14000US53033029203"
2016,"2016",0,"Total",89500,19829,"Census Tract 236.01, King County, WA","14000US53033023601"
2016,"2016",0,"Total",106338,7087.000000000001,"Census Tract 48, King County, WA","14000US53033004800"
2016,"2016",0,"Total",75881,5331,"Census Tract 47, King County, WA","14000US53033004700"
2016,"2016",0,"Total",91000,18230,"Census Tract 236.03, King County, WA","14000US53033023603"
2016,"2016",0,"Total",128618,14627.000000000002,"Census Tract 322.12, King County, WA","14000US53033032212"
2016,"2016",0,"Total",64345,17034,"Census Tract 291.02, King County, WA","14000US53033029102"
2016,"2016",0,"Total",76319,16546,"Census Tract 236.04, King County, WA","14000US53033023604"
2016,"2016",0,"Total",120938,17473,"Census Tract 46, King County, WA","14000US53033004600"
2016,"2016",0,"Total",146373,18546,"Census Tract 322.13, King County, WA","14000US53033032213"
2016,"2016",0,"Total",73375,14923,"Census Tract 291.01, King County, WA","14000US53033029101"
2016,"2016",0,"Total",104087,16862,"Census Tract 237, King County, WA","14000US53033023700"
2016,"2016",0,"Total",91538,13865.000000000002,"Census Tract 45, King County, WA","14000US53033004500"
2016,"2016",0,"Total",53763,7899.999999999999,"Census Tract 44, King County, WA","14000US53033004400"
2016,"2016",0,"Total",89038,18384,"Census Tract 238.01, King County, WA","14000US53033023801"
2016,"2016",0,"Total",162393,10742,"Census Tract 322.14, King County, WA","14000US53033032214"
2016,"2016",0,"Total",35821,5692,"Census Tract 290.04, King County, WA","14000US53033029004"
2016,"2016",0,"Total",101925,8591,"Census Tract 238.03, King County, WA","14000US53033023803"
2016,"2016",0,"Total",22880,7408,"Census Tract 43.02, King County, WA","14000US53033004302"
2016,"2016",0,"Total",198875,14141,"Census Tract 322.15, King County, WA","14000US53033032215"
2016,"2016",0,"Total",54864,8150,"Census Tract 290.03, King County, WA","14000US53033029003"
2016,"2016",0,"Total",102463,9029,"Census Tract 238.04, King County, WA","14000US53033023804"
2016,"2016",0,"Total",73667,17990,"Census Tract 43.01, King County, WA","14000US53033004301"
2016,"2016",0,"Total",113432,9082,"Census Tract 42, King County, WA","14000US53033004200"
2016,"2016",0,"Total",142599,26612,"Census Tract 239, King County, WA","14000US53033023900"
2016,"2016",0,"Total",118578,14382,"Census Tract 323.07, King County, WA","14000US53033032307"
2016,"2016",0,"Total",59113,10393,"Census Tract 290.01, King County, WA","14000US53033029001"
2016,"2016",0,"Total",121083,15041.999999999998,"Census Tract 240, King County, WA","14000US53033024000"
2016,"2016",0,"Total",146902,14991.999999999998,"Census Tract 41, King County, WA","14000US53033004100"
2016,"2016",0,"Total",112703,10208,"Census Tract 323.09, King County, WA","14000US53033032309"
2016,"2016",0,"Total",42129,6129,"Census Tract 289.02, King County, WA","14000US53033028902"
2016,"2016",0,"Total",198750,11995,"Census Tract 241, King County, WA","14000US53033024100"
2016,"2016",0,"Total",74915,9375,"Census Tract 40, King County, WA","14000US53033004000"
2016,"2016",0,"Total",110556,23838,"Census Tract 39, King County, WA","14000US53033003900"
2016,"2016",0,"Total",183021,33525,"Census Tract 242, King County, WA","14000US53033024200"
2016,"2016",0,"Total",126224,30414,"Census Tract 323.11, King County, WA","14000US53033032311"
2016,"2016",0,"Total",67788,6640,"Census Tract 289.01, King County, WA","14000US53033028901"
2016,"2016",0,"Total",106725,13026,"Census Tract 243, King County, WA","14000US53033024300"
2016,"2016",0,"Total",91875,21590,"Census Tract 38, King County, WA","14000US53033003800"
2016,"2016",0,"Total",98866,8643,"Census Tract 323.13, King County, WA","14000US53033032313"
2016,"2016",0,"Total",44621,5889,"Census Tract 288.02, King County, WA","14000US53033028802"
2016,"2016",0,"Total",81250,15942,"Census Tract 244, King County, WA","14000US53033024400"
2016,"2016",0,"Total",65960,9300,"Census Tract 36, King County, WA","14000US53033003600"
2016,"2016",0,"Total",83550,7063,"Census Tract 35, King County, WA","14000US53033003500"
2016,"2016",0,"Total",172333,15492,"Census Tract 245, King County, WA","14000US53033024500"
2016,"2016",0,"Total",132885,6907,"Census Tract 323.15, King County, WA","14000US53033032315"
2016,"2016",0,"Total",64271,14547,"Census Tract 288.01, King County, WA","14000US53033028801"
2016,"2016",0,"Total",162355,11719,"Census Tract 246.01, King County, WA","14000US53033024601"
2016,"2016",0,"Total",103333,16020,"Census Tract 34, King County, WA","14000US53033003400"
2016,"2016",0,"Total",165714,12495,"Census Tract 323.16, King County, WA","14000US53033032316"
2016,"2016",0,"Total",77636,6403,"Census Tract 287, King County, WA","14000US53033028700"
2016,"2016",0,"Total",190972,38571,"Census Tract 246.02, King County, WA","14000US53033024602"
2016,"2016",0,"Total",92746,11122,"Census Tract 33, King County, WA","14000US53033003300"
2016,"2016",0,"Total",84846,13059,"Census Tract 32, King County, WA","14000US53033003200"
2016,"2016",0,"Total",89500,20537,"Census Tract 247.01, King County, WA","14000US53033024701"
2016,"2016",0,"Total",156325,15360.999999999998,"Census Tract 323.17, King County, WA","14000US53033032317"
2016,"2016",0,"Total",86968,6419,"Census Tract 286, King County, WA","14000US53033028600"
2016,"2016",0,"Total",109840,13390,"Census Tract 247.02, King County, WA","14000US53033024702"
2016,"2016",0,"Total",100468,9103,"Census Tract 31, King County, WA","14000US53033003100"
2016,"2016",0,"Total",159735,9168,"Census Tract 323.18, King County, WA","14000US53033032318"
2016,"2016",0,"Total",56801,12233,"Census Tract 285, King County, WA","14000US53033028500"
2016,"2016",0,"Total",77022,21290,"Census Tract 248, King County, WA","14000US53033024800"
2016,"2016",0,"Total",93155,15525.000000000002,"Census Tract 30, King County, WA","14000US53033003000"
2016,"2016",0,"Total",96685,10348,"Census Tract 29, King County, WA","14000US53033002900"
2016,"2016",0,"Total",133583,13567,"Census Tract 249.01, King County, WA","14000US53033024901"
2016,"2016",0,"Total",73531,25089,"Census Tract 323.19, King County, WA","14000US53033032319"
2016,"2016",0,"Total",31700,1674,"Census Tract 284.03, King County, WA","14000US53033028403"
2016,"2016",0,"Total",105714,29882.000000000004,"Census Tract 249.02, King County, WA","14000US53033024902"
2016,"2016",0,"Total",100859,17340,"Census Tract 28, King County, WA","14000US53033002800"
2016,"2016",0,"Total",141406,22652,"Census Tract 323.20, King County, WA","14000US53033032320"
2016,"2016",0,"Total",42368,6310,"Census Tract 284.02, King County, WA","14000US53033028402"
2016,"2016",0,"Total",157311,9024,"Census Tract 249.03, King County, WA","14000US53033024903"
2016,"2016",0,"Total",118790,17154,"Census Tract 27, King County, WA","14000US53033002700"
2016,"2016",0,"Total",99583,17935,"Census Tract 26, King County, WA","14000US53033002600"
2016,"2016",0,"Total",114100,12805,"Census Tract 250.01, King County, WA","14000US53033025001"
2016,"2016",0,"Total",201818,19640,"Census Tract 323.21, King County, WA","14000US53033032321"
2016,"2016",0,"Total",79070,3811,"Census Tract 283, King County, WA","14000US53033028300"
2016,"2016",0,"Total",136912,33558,"Census Tract 250.03, King County, WA","14000US53033025003"
2016,"2016",0,"Total",101397,8388,"Census Tract 25, King County, WA","14000US53033002500"
2016,"2016",0,"Total",159118,16730,"Census Tract 323.22, King County, WA","14000US53033032322"
2016,"2016",0,"Total",43703,10609,"Census Tract 282, King County, WA","14000US53033028200"
2016,"2016",0,"Total",109722,16118.000000000002,"Census Tract 250.05, King County, WA","14000US53033025005"
2016,"2016",0,"Total",111964,14328.000000000002,"Census Tract 24, King County, WA","14000US53033002400"
2016,"2016",0,"Total",134792,25832,"Census Tract 22, King County, WA","14000US53033002200"
2016,"2016",0,"Total",145444,22505,"Census Tract 250.06, King County, WA","14000US53033025006"
2016,"2016",0,"Total",129938,23288,"Census Tract 323.23, King County, WA","14000US53033032323"
2016,"2016",0,"Total",51042,11327,"Census Tract 281, King County, WA","14000US53033028100"
2016,"2016",0,"Total",83259,13625.000000000002,"Census Tract 251.01, King County, WA","14000US53033025101"
2016,"2016",0,"Total",89900,10749,"Census Tract 21, King County, WA","14000US53033002100"
2016,"2016",0,"Total",87571,11809,"Census Tract 323.24, King County, WA","14000US53033032324"
2016,"2016",0,"Total",43714,3577.0000000000005,"Census Tract 280, King County, WA","14000US53033028000"
2016,"2016",0,"Total",103350,10940,"Census Tract 251.02, King County, WA","14000US53033025102"
2016,"2016",0,"Total",90855,13326,"Census Tract 20, King County, WA","14000US53033002000"
2016,"2016",0,"Total",67450,11614,"Census Tract 19, King County, WA","14000US53033001900"
2016,"2016",0,"Total",77191,7639,"Census Tract 252, King County, WA","14000US53033025200"
2016,"2016",0,"Total",107273,12712,"Census Tract 323.25, King County, WA","14000US53033032325"
2016,"2016",0,"Total",52376,10874,"Census Tract 279, King County, WA","14000US53033027900"
2016,"2016",0,"Total",82404,9006,"Census Tract 253.01, King County, WA","14000US53033025301"
2016,"2016",0,"Total",81680,17465,"Census Tract 18, King County, WA","14000US53033001800"
2016,"2016",0,"Total",146595,10455,"Census Tract 323.26, King County, WA","14000US53033032326"
2016,"2016",0,"Total",89500,8730,"Census Tract 278, King County, WA","14000US53033027800"
2016,"2016",0,"Total",38679,11716,"Census Tract 253.02, King County, WA","14000US53033025302"
2016,"2016",0,"Total",65984,8429,"Census Tract 17.02, King County, WA","14000US53033001702"
2016,"2016",0,"Total",66042,6344,"Census Tract 17.01, King County, WA","14000US53033001701"
2016,"2016",0,"Total",47490,6951,"Census Tract 254, King County, WA","14000US53033025400"
2016,"2016",0,"Total",95086,18690,"Census Tract 323.27, King County, WA","14000US53033032327"
2016,"2016",0,"Total",75175,17318,"Census Tract 277.02, King County, WA","14000US53033027702"
2016,"2016",0,"Total",61571,7425,"Census Tract 255, King County, WA","14000US53033025500"
2016,"2016",0,"Total",102558,11812,"Census Tract 16, King County, WA","14000US53033001600"
2016,"2016",0,"Total",120789,17633,"Census Tract 323.28, King County, WA","14000US53033032328"
2016,"2016",0,"Total",49865,34053,"Census Tract 277.01, King County, WA","14000US53033027701"
2016,"2016",0,"Total",63015,10276,"Census Tract 256.01, King County, WA","14000US53033025601"
2016,"2016",0,"Total",100179,18396,"Census Tract 15, King County, WA","14000US53033001500"
2016,"2016",0,"Total",70689,8643,"Census Tract 14, King County, WA","14000US53033001400"
2016,"2016",0,"Total",104677,8602,"Census Tract 256.02, King County, WA","14000US53033025602"
2016,"2016",0,"Total",143295,13938,"Census Tract 323.29, King County, WA","14000US53033032329"
2016,"2016",0,"Total",56201,13401,"Census Tract 276, King County, WA","14000US53033027600"
2016,"2016",0,"Total",50048,7266.999999999999,"Census Tract 257.01, King County, WA","14000US53033025701"
2016,"2016",0,"Total",63077,11006,"Census Tract 13, King County, WA","14000US53033001300"
2016,"2016",0,"Total",100192,18530,"Census Tract 324.01, King County, WA","14000US53033032401"
2016,"2016",0,"Total",50841,8081.999999999999,"Census Tract 275, King County, WA","14000US53033027500"
2016,"2016",0,"Total",85667,14251,"Census Tract 257.02, King County, WA","14000US53033025702"
2016,"2016",0,"Total",42232,7246.999999999999,"Census Tract 12, King County, WA","14000US53033001200"
2016,"2016",0,"Total",73984,13712,"Census Tract 11, King County, WA","14000US53033001100"
2016,"2016",0,"Total",55171,6800.000000000001,"Census Tract 258.03, King County, WA","14000US53033025803"
2016,"2016",0,"Total",109830,15608,"Census Tract 324.02, King County, WA","14000US53033032402"
2016,"2016",0,"Total",61780,10557,"Census Tract 274, King County, WA","14000US53033027400"
2016,"2016",0,"Total",67396,12689,"Census Tract 258.04, King County, WA","14000US53033025804"
2016,"2016",0,"Total",75167,14963,"Census Tract 10, King County, WA","14000US53033001000"
2016,"2016",0,"Total",98594,8187,"Census Tract 325, King County, WA","14000US53033032500"
2016,"2016",0,"Total",49660,4644,"Census Tract 273, King County, WA","14000US53033027300"
2016,"2016",0,"Total",58901,3877,"Census Tract 258.05, King County, WA","14000US53033025805"
2016,"2016",0,"Total",135227,29464.999999999996,"Census Tract 9, King County, WA","14000US53033000900"
2016,"2016",0,"Total",92917,17786,"Census Tract 8, King County, WA","14000US53033000800"
2016,"2016",0,"Total",77176,6570,"Census Tract 258.06, King County, WA","14000US53033025806"
2016,"2016",0,"Total",89111,10884,"Census Tract 326.01, King County, WA","14000US53033032601"
2016,"2016",0,"Total",60865,18001,"Census Tract 272, King County, WA","14000US53033027200"
2016,"2016",0,"Total",72079,10021,"Census Tract 260.01, King County, WA","14000US53033026001"
2016,"2016",0,"Total",51371,3137,"Census Tract 7, King County, WA","14000US53033000700"
2016,"2016",0,"Total",136869,8720,"Census Tract 326.02, King County, WA","14000US53033032602"
2016,"2016",0,"Total",47375,11390,"Census Tract 271, King County, WA","14000US53033027100"
2016,"2016",0,"Total",53320,10744,"Census Tract 260.02, King County, WA","14000US53033026002"
2016,"2016",0,"Total",57023,10048,"Census Tract 6, King County, WA","14000US53033000600"
2016,"2016",0,"Total",126544,17356,"Census Tract 5, King County, WA","14000US53033000500"
2016,"2016",0,"Total",50895,8055,"Census Tract 261, King County, WA","14000US53033026100"
2016,"2016",0,"Total",99543,4862,"Census Tract 327.02, King County, WA","14000US53033032702"
2016,"2016",0,"Total",51967,9266,"Census Tract 270, King County, WA","14000US53033027000"
2016,"2016",0,"Total",49805,8630,"Census Tract 262, King County, WA","14000US53033026200"
2016,"2016",0,"Total",61184,13257,"Census Tract 4.02, King County, WA","14000US53033000402"
2016,"2016",0,"Total",84837,7666,"Census Tract 327.03, King County, WA","14000US53033032703"
2016,"2016",0,"Total",46250,11594,"Census Tract 268.02, King County, WA","14000US53033026802"
2016,"2016",0,"Total",52031,6488,"Census Tract 263, King County, WA","14000US53033026300"
2016,"2016",0,"Total",32196,2396,"Census Tract 4.01, King County, WA","14000US53033000401"
2016,"2016",0,"Total",65781,17808,"Census Tract 3, King County, WA","14000US53033000300"
2016,"2016",0,"Total",45027,9945,"Census Tract 264, King County, WA","14000US53033026400"
2016,"2016",0,"Total",73241,19190,"Census Tract 327.04, King County, WA","14000US53033032704"
2016,"2016",0,"Total",45137,10884,"Census Tract 268.01, King County, WA","14000US53033026801"
2016,"2016",0,"Total",36733,9634,"Census Tract 265, King County, WA","14000US53033026500"
2016,"2016",0,"Total",63727,6832,"Census Tract 2, King County, WA","14000US53033000200"
2016,"2016",0,"Total",88409,5215,"Census Tract 328, King County, WA","14000US53033032800"
2016,"2016",0,"Total",72941,11140,"Census Tract 267, King County, WA","14000US53033026700"
2016,"2016",0,"Total",63287,4792,"Census Tract 266, King County, WA","14000US53033026600"
2016,"2016",0,"Total",59330,6959.999999999999,"Census Tract 306, King County, WA","14000US53033030600"
2015,"2015",0,"Total",74350,5659,"Census Tract 298.02, King County, WA","14000US53033029802"
2015,"2015",0,"Total",89375,23017,"Census Tract 312.04, King County, WA","14000US53033031204"
2015,"2015",0,"Total",81056,11212,"Census Tract 220.06, King County, WA","14000US53033022006"
2015,"2015",0,"Total",59275,4354,"Census Tract 101, King County, WA","14000US53033010100"
2015,"2015",0,"Total",101397,8048,"Census Tract 31, King County, WA","14000US53033003100"
2015,"2015",0,"Total",72396,9071,"Census Tract 47, King County, WA","14000US53033004700"
2015,"2015",0,"Total",62788,6273,"Census Tract 298.01, King County, WA","14000US53033029801"
2015,"2015",0,"Total",100168,7697,"Census Tract 221.01, King County, WA","14000US53033022101"
2015,"2015",0,"Total",67572,13612,"Census Tract 70, King County, WA","14000US53033007000"
2015,"2015",0,"Total",84583,13922,"Census Tract 326.01, King County, WA","14000US53033032601"
2015,"2015",0,"Total",84324,13360,"Census Tract 102, King County, WA","14000US53033010200"
2015,"2015",0,"Total",107727,17420,"Census Tract 323.25, King County, WA","14000US53033032325"
2015,"2015",0,"Total",96863,8292,"Census Tract 221.02, King County, WA","14000US53033022102"
2015,"2015",0,"Total",91063,23273,"Census Tract 320.02, King County, WA","14000US53033032002"
2015,"2015",0,"Total",76932,9606,"Census Tract 312.02, King County, WA","14000US53033031202"
2015,"2015",0,"Total",40513,6986,"Census Tract 297, King County, WA","14000US53033029700"
2015,"2015",0,"Total",126146,15593,"Census Tract 322.12, King County, WA","14000US53033032212"
