,ID.Year,Year,ID.Race,Race,Household.Income.by.Race,Household.Income.by.Race.Moe,Geography,ID.Geography,Sector
240,2017,2017,0,Total,73317,14147,"Census Tract 70, King County, WA",14000US53033007000,Q
243,2017,2017,0,Total,81454,3931,"Census Tract 71, King County, WA",14000US53033007100,Q
246,2017,2017,0,Total,98324,9208,"Census Tract 72, King County, WA",14000US53033007200,D
250,2017,2017,0,Total,94326,12538,"Census Tract 73, King County, WA",14000US53033007300,D
253,2017,2017,0,Total,65217,10536,"Census Tract 74.01, King County, WA",14000US53033007401,E
256,2017,2017,0,Total,51225,9482,"Census Tract 74.02, King County, WA",14000US53033007402,E
260,2017,2017,0,Total,65396,9793,"Census Tract 75, King County, WA",14000US53033007500,E
263,2017,2017,0,Total,74688,14408,"Census Tract 76, King County, WA",14000US53033007600,C
266,2017,2017,0,Total,113198,7094,"Census Tract 77, King County, WA",14000US53033007700,C
270,2017,2017,0,Total,155848,26975,"Census Tract 78, King County, WA",14000US53033007800,C
273,2017,2017,0,Total,76652,11742,"Census Tract 79, King County, WA",14000US53033007900,C
276,2017,2017,0,Total,98250,34258,"Census Tract 80.01, King County, WA",14000US53033008001,D
280,2017,2017,0,Total,55136,9427,"Census Tract 80.02, King County, WA",14000US53033008002,D
283,2017,2017,0,Total,79800,26732,"Census Tract 81, King County, WA",14000US53033008100,M
286,2017,2017,0,Total,79167,16034,"Census Tract 82, King County, WA",14000US53033008200,M
290,2017,2017,0,Total,61058,14952,"Census Tract 83, King County, WA",14000US53033008300,E
293,2017,2017,0,Total,52066,7683,"Census Tract 84, King County, WA",14000US53033008400,E
296,2017,2017,0,Total,38713,9570,"Census Tract 85, King County, WA",14000US53033008500,G
300,2017,2017,0,Total,50774,14067,"Census Tract 86, King County, WA",14000US53033008600,G
303,2017,2017,0,Total,69583,23609,"Census Tract 87, King County, WA",14000US53033008700,G
306,2017,2017,0,Total,95455,22548,"Census Tract 88, King County, WA",14000US53033008800,G
310,2017,2017,0,Total,87250,10738,"Census Tract 89, King County, WA",14000US53033008900,G
313,2017,2017,0,Total,47428,9762,"Census Tract 90, King County, WA",14000US53033009000,G
316,2017,2017,0,Total,31250,4366,"Census Tract 91, King County, WA",14000US53033009100,K
320,2017,2017,0,Total,21868,7232,"Census Tract 92, King County, WA",14000US53033009200,K
323,2017,2017,0,Total,74696,12155,"Census Tract 93, King County, WA",14000US53033009300,O
326,2017,2017,0,Total,65633,9804,"Census Tract 94, King County, WA",14000US53033009400,R
330,2017,2017,0,Total,100714,27691,"Census Tract 95, King County, WA",14000US53033009500,R
333,2017,2017,0,Total,92888,14901,"Census Tract 96, King County, WA",14000US53033009600,W
336,2017,2017,0,Total,106821,15392,"Census Tract 97.01, King County, WA",14000US53033009701,W
340,2017,2017,0,Total,114741,12185,"Census Tract 97.02, King County, WA",14000US53033009702,W
343,2017,2017,0,Total,105110,17449,"Census Tract 98, King County, WA",14000US53033009800,W
346,2017,2017,0,Total,75000,11057,"Census Tract 99, King County, WA",14000US53033009900,W
350,2017,2017,0,Total,67292,12739,"Census Tract 100.01, King County, WA",14000US53033010001,R
353,2017,2017,0,Total,70048,6466,"Census Tract 100.02, King County, WA",14000US53033010002,R
355,2017,2017,0,Total,115000,14078,"Census Tract 121, King County, WA",14000US53033012100,W
356,2017,2017,0,Total,64161,14038,"Census Tract 101, King County, WA",14000US53033010100,R
359,2017,2017,0,Total,100855,10378,"Census Tract 120, King County, WA",14000US53033012000,W
360,2017,2017,0,Total,99483,16377,"Census Tract 102, King County, WA",14000US53033010200,R
362,2017,2017,0,Total,86603,18807,"Census Tract 119, King County, WA",14000US53033011900,S
363,2017,2017,0,Total,60444,6988,"Census Tract 103, King County, WA",14000US53033010300,R
365,2017,2017,0,Total,49264,10206,"Census Tract 118, King County, WA",14000US53033011800,S
366,2017,2017,0,Total,58342,7848,"Census Tract 104.01, King County, WA",14000US53033010401,R
369,2017,2017,0,Total,79211,15259,"Census Tract 117, King County, WA",14000US53033011700,S
370,2017,2017,0,Total,75972,10331,"Census Tract 104.02, King County, WA",14000US53033010402,R
372,2017,2017,0,Total,103835,11722,"Census Tract 116, King County, WA",14000US53033011600,W
373,2017,2017,0,Total,77760,8564,"Census Tract 105, King County, WA",14000US53033010500,W
375,2017,2017,0,Total,90701,13828,"Census Tract 115, King County, WA",14000US53033011500,W
376,2017,2017,0,Total,90306,13827,"Census Tract 106, King County, WA",14000US53033010600,W
379,2017,2017,0,Total,50377,4992,"Census Tract 114.02, King County, WA",14000US53033011402,F
380,2017,2017,0,Total,62826,6856,"Census Tract 107.01, King County, WA",14000US53033010701,F
382,2017,2017,0,Total,62090,8286,"Census Tract 114.01, King County, WA",14000US53033011401,F
383,2017,2017,0,Total,41416,5231,"Census Tract 107.02, King County, WA",14000US53033010702,F
385,2017,2017,0,Total,55000,11551,"Census Tract 113, King County, WA",14000US53033011300,F
386,2017,2017,0,Total,85885,13302,"Census Tract 108, King County, WA",14000US53033010800,F
389,2017,2017,0,Total,35120,9183,"Census Tract 112, King County, WA",14000US53033011200,F
390,2017,2017,0,Total,58611,13703,"Census Tract 109, King County, WA",14000US53033010900,O
392,2017,2017,0,Total,73214,16231,"Census Tract 111.02, King County, WA",14000US53033011102,S
393,2017,2017,0,Total,24725,9076,"Census Tract 110.01, King County, WA",14000US53033011001,S
395,2017,2017,0,Total,52311,3613,"Census Tract 111.01, King County, WA",14000US53033011101,S
396,2017,2017,0,Total,51031,7587,"Census Tract 110.02, King County, WA",14000US53033011002,S
399,2016,2016,0,Total,48002,8140,"Census Tract 1, King County, WA",14000US53033000100,L
400,2016,2016,0,Total,50259,10201,"Census Tract 110.02, King County, WA",14000US53033011002,S
402,2016,2016,0,Total,61593,13929,"Census Tract 111.02, King County, WA",14000US53033011102,S
403,2016,2016,0,Total,23904,6580,"Census Tract 110.01, King County, WA",14000US53033011001,S
405,2016,2016,0,Total,34605,8341,"Census Tract 112, King County, WA",14000US53033011200,F
406,2016,2016,0,Total,60128,19503,"Census Tract 109, King County, WA",14000US53033010900,O
409,2016,2016,0,Total,47600,10206,"Census Tract 113, King County, WA",14000US53033011300,F
410,2016,2016,0,Total,80618,6760,"Census Tract 108, King County, WA",14000US53033010800,F
412,2016,2016,0,Total,58241,7343,"Census Tract 114.01, King County, WA",14000US53033011401,F
413,2016,2016,0,Total,41951,7410,"Census Tract 107.02, King County, WA",14000US53033010702,F
415,2016,2016,0,Total,49014,3932,"Census Tract 114.02, King County, WA",14000US53033011402,F
416,2016,2016,0,Total,59493,3554,"Census Tract 107.01, King County, WA",14000US53033010701,F
419,2016,2016,0,Total,83457,9962,"Census Tract 115, King County, WA",14000US53033011500,W
420,2016,2016,0,Total,88320,11772,"Census Tract 106, King County, WA",14000US53033010600,W
422,2016,2016,0,Total,111426,10900,"Census Tract 116, King County, WA",14000US53033011600,W
423,2016,2016,0,Total,71535,10075,"Census Tract 105, King County, WA",14000US53033010500,W
425,2016,2016,0,Total,65772,13093,"Census Tract 117, King County, WA",14000US53033011700,S
426,2016,2016,0,Total,80931,12401,"Census Tract 104.02, King County, WA",14000US53033010402,R
429,2016,2016,0,Total,44599,8406,"Census Tract 118, King County, WA",14000US53033011800,S
