,ID.Year,Year,ID.Race,Race,Household.Income.by.Race,Household.Income.by.Race.Moe,Geography,ID.Geography,Sector
884,2015,2015,0,Total,38487,12881,"Census Tract 52, King County, WA",14000US53033005200,B
886,2015,2015,0,Total,47604,7719,"Census Tract 110.02, King County, WA",14000US53033011002,S
891,2015,2015,0,Total,104632,12986,"Census Tract 77, King County, WA",14000US53033007700,C
893,2015,2015,0,Total,95927,16926,"Census Tract 15, King County, WA",14000US53033001500,J
894,2015,2015,0,Total,52412,5871,"Census Tract 111.01, King County, WA",14000US53033011101,S
895,2015,2015,0,Total,132981,22552,"Census Tract 22, King County, WA",14000US53033002200,U
898,2015,2015,0,Total,81563,5284,"Census Tract 35, King County, WA",14000US53033003500,B
900,2015,2015,0,Total,12269,2829,"Census Tract 53.01, King County, WA",14000US53033005301,U
901,2015,2015,0,Total,61901,12038,"Census Tract 111.02, King County, WA",14000US53033011102,S
903,2015,2015,0,Total,137358,28368,"Census Tract 78, King County, WA",14000US53033007800,C
906,2015,2015,0,Total,69643,13439,"Census Tract 10, King County, WA",14000US53033001000,L
909,2015,2015,0,Total,35425,5752,"Census Tract 112, King County, WA",14000US53033011200,F
914,2015,2015,0,Total,57786,13106,"Census Tract 79, King County, WA",14000US53033007900,C
916,2015,2015,0,Total,47363,9876,"Census Tract 113, King County, WA",14000US53033011300,F
919,2015,2015,0,Total,65172,7113,"Census Tract 36, King County, WA",14000US53033003600,J
924,2015,2015,0,Total,54622,4009,"Census Tract 114.01, King County, WA",14000US53033011401,F
925,2015,2015,0,Total,88068,6675,"Census Tract 80.01, King County, WA",14000US53033008001,D
928,2015,2015,0,Total,62726,5942,"Census Tract 4.02, King County, WA",14000US53033000402,N
931,2015,2015,0,Total,47701,4274,"Census Tract 114.02, King County, WA",14000US53033011402,F
933,2015,2015,0,Total,84728,13098,"Census Tract 54, King County, WA",14000US53033005400,B
934,2015,2015,0,Total,103917,14557,"Census Tract 24, King County, WA",14000US53033002400,U
936,2015,2015,0,Total,37466,10562,"Census Tract 80.02, King County, WA",14000US53033008002,D
939,2015,2015,0,Total,75123,9327,"Census Tract 115, King County, WA",14000US53033011500,W
945,2015,2015,0,Total,96310,14970,"Census Tract 38, King County, WA",14000US53033003800,U
946,2015,2015,0,Total,102500,8516,"Census Tract 116, King County, WA",14000US53033011600,W
948,2015,2015,0,Total,75531,12772,"Census Tract 81, King County, WA",14000US53033008100,M
949,2015,2015,0,Total,157292,12591,"Census Tract 56, King County, WA",14000US53033005600,Q
951,2015,2015,0,Total,96193,12747,"Census Tract 16, King County, WA",14000US53033001600,N
954,2015,2015,0,Total,60917,11983,"Census Tract 117, King County, WA",14000US53033011700,S
959,2015,2015,0,Total,56318,13566,"Census Tract 82, King County, WA",14000US53033008200,M
961,2015,2015,0,Total,38846,12012,"Census Tract 118, King County, WA",14000US53033011800,S
964,2015,2015,0,Total,90951,14640,"Census Tract 57, King County, WA",14000US53033005700,Q
968,2015,2015,0,Total,101413,7032,"Census Tract 25, King County, WA",14000US53033002500,U
969,2015,2015,0,Total,71524,6113,"Census Tract 119, King County, WA",14000US53033011900,S
970,2015,2015,0,Total,49291,2646,"Census Tract 83, King County, WA",14000US53033008300,E
973,2015,2015,0,Total,110458,20746,"Census Tract 39, King County, WA",14000US53033003900,U
976,2015,2015,0,Total,83421,13523,"Census Tract 120, King County, WA",14000US53033012000,W
981,2015,2015,0,Total,42339,8299,"Census Tract 84, King County, WA",14000US53033008400,E
983,2015,2015,0,Total,66563,8712,"Census Tract 58.01, King County, WA",14000US53033005801,Q
984,2015,2015,0,Total,110060,29871,"Census Tract 121, King County, WA",14000US53033012100,W
985,2015,2015,0,Total,51741,7235,"Census Tract 7, King County, WA",14000US53033000700,L
993,2015,2015,0,Total,29883,6556,"Census Tract 85, King County, WA",14000US53033008500,G
994,2015,2015,0,Total,64549,15701,"Census Tract 11, King County, WA",14000US53033001100,L
1000,2015,2015,0,Total,62639,15147,"Census Tract 58.02, King County, WA",14000US53033005802,Q
1003,2015,2015,0,Total,65188,5786,"Census Tract 17.01, King County, WA",14000US53033001701,J
1004,2015,2015,0,Total,43375,6826,"Census Tract 86, King County, WA",14000US53033008600,G
1005,2015,2015,0,Total,91458,17972,"Census Tract 26, King County, WA",14000US53033002600,U
1015,2015,2015,0,Total,56700,5993,"Census Tract 87, King County, WA",14000US53033008700,G
1018,2015,2015,0,Total,87667,14213,"Census Tract 59, King County, WA",14000US53033005900,Q
1023,2015,2015,0,Total,132917,22620,"Census Tract 41, King County, WA",14000US53033004100,U
1026,2015,2015,0,Total,76524,6666,"Census Tract 88, King County, WA",14000US53033008800,G
1033,2015,2015,0,Total,96538,25280,"Census Tract 60, King County, WA",14000US53033006000,Q
1038,2015,2015,0,Total,79953,8201,"Census Tract 89, King County, WA",14000US53033008900,G
1041,2015,2015,0,Total,111661,11346,"Census Tract 27, King County, WA",14000US53033002700,J
1048,2015,2015,0,Total,110091,6578,"Census Tract 42, King County, WA",14000US53033004200,U
1049,2015,2015,0,Total,44571,10945,"Census Tract 90, King County, WA",14000US53033009000,G
1050,2015,2015,0,Total,76980,6797,"Census Tract 61, King County, WA",14000US53033006100,D
1054,2015,2015,0,Total,62786,8108,"Census Tract 17.02, King County, WA",14000US53033001702,J
1060,2015,2015,0,Total,29464,2866,"Census Tract 91, King County, WA",14000US53033009100,K
1068,2015,2015,0,Total,131429,7671,"Census Tract 62, King County, WA",14000US53033006200,C
1069,2015,2015,0,Total,32472,2474,"Census Tract 4.01, King County, WA",14000US53033000401,N
1071,2015,2015,0,Total,25625,8349,"Census Tract 92, King County, WA",14000US53033009200,K
1073,2015,2015,0,Total,64797,11621,"Census Tract 43.01, King County, WA",14000US53033004301,U
1083,2015,2015,0,Total,70458,11946,"Census Tract 93, King County, WA",14000US53033009300,O
1084,2015,2015,0,Total,132000,33212,"Census Tract 63, King County, WA",14000US53033006300,C
1086,2015,2015,0,Total,90568,24812,"Census Tract 28, King County, WA",14000US53033002800,J
1090,2015,2015,0,Total,31863,7656,"Census Tract 12, King County, WA",14000US53033001200,L
1094,2015,2015,0,Total,47737,8734,"Census Tract 94, King County, WA",14000US53033009400,R
1098,2015,2015,0,Total,18908,5464,"Census Tract 43.02, King County, WA",14000US53033004302,U
1099,2015,2015,0,Total,154868,18436,"Census Tract 64, King County, WA",14000US53033006400,C
1103,2015,2015,0,Total,125400,18158,"Census Tract 5, King County, WA",14000US53033000500,N
1105,2015,2015,0,Total,81676,21068,"Census Tract 95, King County, WA",14000US53033009500,R
1114,2015,2015,0,Total,87159,21997,"Census Tract 18, King County, WA",14000US53033001800,N
1116,2015,2015,0,Total,77808,10044,"Census Tract 96, King County, WA",14000US53033009600,W
1118,2015,2015,0,Total,98617,14100,"Census Tract 65, King County, WA",14000US53033006500,C
1120,2015,2015,0,Total,103750,9857,"Census Tract 29, King County, WA",14000US53033002900,J
1123,2015,2015,0,Total,50500,11166,"Census Tract 44, King County, WA",14000US53033004400,U
1128,2015,2015,0,Total,82333,20735,"Census Tract 97.01, King County, WA",14000US53033009701,W
1129,2015,2015,0,Total,87222,15006,"Census Tract 8, King County, WA",14000US53033000800,L
1135,2015,2015,0,Total,82154,14370,"Census Tract 66, King County, WA",14000US53033006600,D
1138,2015,2015,0,Total,56208,9564,"Census Tract 2, King County, WA",14000US53033000200,L
1139,2015,2015,0,Total,106319,17170,"Census Tract 97.02, King County, WA",14000US53033009702,W
1148,2015,2015,0,Total,88914,11002,"Census Tract 45, King County, WA",14000US53033004500,B
1150,2015,2015,0,Total,71705,12424,"Census Tract 98, King County, WA",14000US53033009800,W
1153,2015,2015,0,Total,88719,11259,"Census Tract 67, King County, WA",14000US53033006700,Q
1158,2015,2015,0,Total,90789,11747,"Census Tract 30, King County, WA",14000US53033003000,J
1161,2015,2015,0,Total,67277,11419,"Census Tract 99, King County, WA",14000US53033009900,W
1165,2015,2015,0,Total,56744,12208,"Census Tract 13, King County, WA",14000US53033001300,N
1168,2015,2015,0,Total,98750,21794,"Census Tract 68, King County, WA",14000US53033006800,Q
1173,2015,2015,0,Total,51316,17659,"Census Tract 100.01, King County, WA",14000US53033010001,R
1174,2015,2015,0,Total,113906,15658,"Census Tract 46, King County, WA",14000US53033004600,J
1176,2015,2015,0,Total,61391,7505,"Census Tract 19, King County, WA",14000US53033001900,L
1184,2015,2015,0,Total,66458,4716,"Census Tract 100.02, King County, WA",14000US53033010002,R
1185,2015,2015,0,Total,100172,18632,"Census Tract 69, King County, WA",14000US53033006900,Q
1188,2015,2015,0,Total,64297,17385,"Census Tract 3, King County, WA",14000US53033000300,N
1191,2014,2014,0,Total,52879,8008,"Census Tract 111.01, King County, WA",14000US53033011101,S
1194,2014,2014,0,Total,55522,3667,"Census Tract 2, King County, WA",14000US53033000200,L
1198,2014,2014,0,Total,65673,23049,"Census Tract 3, King County, WA",14000US53033000300,N
1202,2014,2014,0,Total,32145,2211,"Census Tract 4.01, King County, WA",14000US53033000401,N
1204,2014,2014,0,Total,57031,10683,"Census Tract 4.02, King County, WA",14000US53033000402,N
1208,2014,2014,0,Total,123587,19808,"Census Tract 5, King County, WA",14000US53033000500,N
1212,2014,2014,0,Total,56111,7418,"Census Tract 6, King County, WA",14000US53033000600,N
1214,2014,2014,0,Total,51642,5277,"Census Tract 7, King County, WA",14000US53033000700,L
1218,2014,2014,0,Total,81500,12040,"Census Tract 8, King County, WA",14000US53033000800,L
1222,2014,2014,0,Total,116063,13012,"Census Tract 9, King County, WA",14000US53033000900,L
1224,2014,2014,0,Total,68371,8588,"Census Tract 10, King County, WA",14000US53033001000,L
1228,2014,2014,0,Total,64583,26455,"Census Tract 11, King County, WA",14000US53033001100,L
1232,2014,2014,0,Total,31973,7942,"Census Tract 12, King County, WA",14000US53033001200,L
1234,2014,2014,0,Total,53962,4126,"Census Tract 13, King County, WA",14000US53033001300,N
1238,2014,2014,0,Total,71500,8698,"Census Tract 14, King County, WA",14000US53033001400,N
1242,2014,2014,0,Total,103056,14203,"Census Tract 15, King County, WA",14000US53033001500,J
1244,2014,2014,0,Total,91719,14103,"Census Tract 16, King County, WA",14000US53033001600,N
1248,2014,2014,0,Total,74659,12570,"Census Tract 17.01, King County, WA",14000US53033001701,J
1252,2014,2014,0,Total,61928,7471,"Census Tract 17.02, King County, WA",14000US53033001702,J
1254,2014,2014,0,Total,88889,23426,"Census Tract 18, King County, WA",14000US53033001800,N
1258,2014,2014,0,Total,61979,11935,"Census Tract 19, King County, WA",14000US53033001900,L
1262,2014,2014,0,Total,75278,10821,"Census Tract 20, King County, WA",14000US53033002000,L
1264,2014,2014,0,Total,84936,6902,"Census Tract 21, King County, WA",14000US53033002100,U
1268,2014,2014,0,Total,116005,23249,"Census Tract 22, King County, WA",14000US53033002200,U
1272,2014,2014,0,Total,97941,17588,"Census Tract 24, King County, WA",14000US53033002400,U
1274,2014,2014,0,Total,103542,7784,"Census Tract 25, King County, WA",14000US53033002500,U
1278,2014,2014,0,Total,95139,11582,"Census Tract 26, King County, WA",14000US53033002600,U
1282,2014,2014,0,Total,107039,13407,"Census Tract 27, King County, WA",14000US53033002700,J
1284,2014,2014,0,Total,78850,8772,"Census Tract 28, King County, WA",14000US53033002800,J
1288,2014,2014,0,Total,96932,10720,"Census Tract 29, King County, WA",14000US53033002900,J
1292,2014,2014,0,Total,95361,17081,"Census Tract 30, King County, WA",14000US53033003000,J
1294,2014,2014,0,Total,95521,15908,"Census Tract 31, King County, WA",14000US53033003100,J
1298,2014,2014,0,Total,72360,9288,"Census Tract 32, King County, WA",14000US53033003200,B
1302,2014,2014,0,Total,77444,6197,"Census Tract 33, King County, WA",14000US53033003300,J
1304,2014,2014,0,Total,100677,13788,"Census Tract 34, King County, WA",14000US53033003400,B
1308,2014,2014,0,Total,80088,9133,"Census Tract 35, King County, WA",14000US53033003500,B
1312,2014,2014,0,Total,66075,6209,"Census Tract 36, King County, WA",14000US53033003600,J
1314,2014,2014,0,Total,85417,12716,"Census Tract 38, King County, WA",14000US53033003800,U
1318,2014,2014,0,Total,105313,13490,"Census Tract 39, King County, WA",14000US53033003900,U
1324,2014,2014,0,Total,122196,15297,"Census Tract 41, King County, WA",14000US53033004100,U
1328,2014,2014,0,Total,109579,6017,"Census Tract 42, King County, WA",14000US53033004200,U
1332,2014,2014,0,Total,62705,9431,"Census Tract 43.01, King County, WA",14000US53033004301,U
1334,2014,2014,0,Total,17515,4190,"Census Tract 43.02, King County, WA",14000US53033004302,U
1338,2014,2014,0,Total,53177,7878,"Census Tract 44, King County, WA",14000US53033004400,U
1342,2014,2014,0,Total,88221,14389,"Census Tract 45, King County, WA",14000US53033004500,B
1344,2014,2014,0,Total,99868,27860,"Census Tract 46, King County, WA",14000US53033004600,J
1348,2014,2014,0,Total,65891,11837,"Census Tract 47, King County, WA",14000US53033004700,B
1352,2014,2014,0,Total,89054,3177,"Census Tract 48, King County, WA",14000US53033004800,B
1354,2014,2014,0,Total,69375,5566,"Census Tract 49, King County, WA",14000US53033004900,B
1358,2014,2014,0,Total,63621,5042,"Census Tract 50, King County, WA",14000US53033005000,B
1362,2014,2014,0,Total,96500,11075,"Census Tract 51, King County, WA",14000US53033005100,B
1364,2014,2014,0,Total,40464,5502,"Census Tract 52, King County, WA",14000US53033005200,B
1368,2014,2014,0,Total,10953,2369,"Census Tract 53.01, King County, WA",14000US53033005301,U
1372,2014,2014,0,Total,5938,7622,"Census Tract 53.02, King County, WA",14000US53033005302,U
1374,2014,2014,0,Total,76841,10367,"Census Tract 54, King County, WA",14000US53033005400,B
1378,2014,2014,0,Total,155639,11345,"Census Tract 56, King County, WA",14000US53033005600,Q
1382,2014,2014,0,Total,88080,15267,"Census Tract 57, King County, WA",14000US53033005700,Q
1384,2014,2014,0,Total,64144,6342,"Census Tract 58.01, King County, WA",14000US53033005801,Q
1388,2014,2014,0,Total,64451,17950,"Census Tract 58.02, King County, WA",14000US53033005802,Q
1392,2014,2014,0,Total,85372,10100,"Census Tract 59, King County, WA",14000US53033005900,Q
1394,2014,2014,0,Total,92344,18562,"Census Tract 60, King County, WA",14000US53033006000,Q
1398,2014,2014,0,Total,74416,5174,"Census Tract 61, King County, WA",14000US53033006100,D
1402,2014,2014,0,Total,41591,7534,"Census Tract 1, King County, WA",14000US53033000100,L
1403,2014,2014,0,Total,119135,16016,"Census Tract 62, King County, WA",14000US53033006200,C
1405,2014,2014,0,Total,118458,22477,"Census Tract 63, King County, WA",14000US53033006300,C
1409,2014,2014,0,Total,151055,13881,"Census Tract 64, King County, WA",14000US53033006400,C
1413,2014,2014,0,Total,93500,14131,"Census Tract 65, King County, WA",14000US53033006500,C
1415,2014,2014,0,Total,73300,16863,"Census Tract 66, King County, WA",14000US53033006600,D
1419,2014,2014,0,Total,82755,7421,"Census Tract 67, King County, WA",14000US53033006700,Q
1423,2014,2014,0,Total,96198,23253,"Census Tract 68, King County, WA",14000US53033006800,Q
1425,2014,2014,0,Total,101058,20368,"Census Tract 69, King County, WA",14000US53033006900,Q
1429,2014,2014,0,Total,61649,14541,"Census Tract 70, King County, WA",14000US53033007000,Q
1433,2014,2014,0,Total,73634,6306,"Census Tract 71, King County, WA",14000US53033007100,Q
1435,2014,2014,0,Total,66636,15159,"Census Tract 72, King County, WA",14000US53033007200,D
1439,2014,2014,0,Total,71061,21007,"Census Tract 73, King County, WA",14000US53033007300,D
1443,2014,2014,0,Total,65601,10311,"Census Tract 74.01, King County, WA",14000US53033007401,E
1445,2014,2014,0,Total,37152,10237,"Census Tract 74.02, King County, WA",14000US53033007402,E
1449,2014,2014,0,Total,48500,9149,"Census Tract 75, King County, WA",14000US53033007500,E
1453,2014,2014,0,Total,61619,5164,"Census Tract 76, King County, WA",14000US53033007600,C
1455,2014,2014,0,Total,91507,15751,"Census Tract 77, King County, WA",14000US53033007700,C
1459,2014,2014,0,Total,145444,20856,"Census Tract 78, King County, WA",14000US53033007800,C
1463,2014,2014,0,Total,54216,12971,"Census Tract 79, King County, WA",14000US53033007900,C
1465,2014,2014,0,Total,86698,8911,"Census Tract 80.01, King County, WA",14000US53033008001,D
1469,2014,2014,0,Total,35395,9128,"Census Tract 80.02, King County, WA",14000US53033008002,D
1473,2014,2014,0,Total,70256,16180,"Census Tract 81, King County, WA",14000US53033008100,M
1475,2014,2014,0,Total,55383,11207,"Census Tract 82, King County, WA",14000US53033008200,M
1479,2014,2014,0,Total,48000,3199,"Census Tract 83, King County, WA",14000US53033008300,E
1483,2014,2014,0,Total,44524,7225,"Census Tract 84, King County, WA",14000US53033008400,E
1485,2014,2014,0,Total,22220,4998,"Census Tract 85, King County, WA",14000US53033008500,G
1489,2014,2014,0,Total,40924,7222,"Census Tract 86, King County, WA",14000US53033008600,G
1493,2014,2014,0,Total,56875,7449,"Census Tract 87, King County, WA",14000US53033008700,G
1495,2014,2014,0,Total,77474,7206,"Census Tract 88, King County, WA",14000US53033008800,G
1499,2014,2014,0,Total,70954,9494,"Census Tract 89, King County, WA",14000US53033008900,G
1503,2014,2014,0,Total,44015,11003,"Census Tract 90, King County, WA",14000US53033009000,G
1505,2014,2014,0,Total,27591,5223,"Census Tract 91, King County, WA",14000US53033009100,K
1509,2014,2014,0,Total,23208,6842,"Census Tract 92, King County, WA",14000US53033009200,K
1513,2014,2014,0,Total,54911,9176,"Census Tract 93, King County, WA",14000US53033009300,O
1515,2014,2014,0,Total,47809,7409,"Census Tract 94, King County, WA",14000US53033009400,R
1519,2014,2014,0,Total,87941,20714,"Census Tract 95, King County, WA",14000US53033009500,R
1523,2014,2014,0,Total,72364,7977,"Census Tract 96, King County, WA",14000US53033009600,W
1525,2014,2014,0,Total,75078,12185,"Census Tract 97.01, King County, WA",14000US53033009701,W
1529,2014,2014,0,Total,101829,10645,"Census Tract 97.02, King County, WA",14000US53033009702,W
1533,2014,2014,0,Total,73058,11463,"Census Tract 98, King County, WA",14000US53033009800,W
1535,2014,2014,0,Total,70822,8118,"Census Tract 99, King County, WA",14000US53033009900,W
1539,2014,2014,0,Total,55903,17866,"Census Tract 100.01, King County, WA",14000US53033010001,R
1543,2014,2014,0,Total,67169,9528,"Census Tract 100.02, King County, WA",14000US53033010002,R
1545,2014,2014,0,Total,60091,5503,"Census Tract 101, King County, WA",14000US53033010100,R
1548,2014,2014,0,Total,106696,27489,"Census Tract 121, King County, WA",14000US53033012100,W
1549,2014,2014,0,Total,87734,9724,"Census Tract 102, King County, WA",14000US53033010200,R
1552,2014,2014,0,Total,85893,14399,"Census Tract 120, King County, WA",14000US53033012000,W
1553,2014,2014,0,Total,49861,15831,"Census Tract 103, King County, WA",14000US53033010300,R
1554,2014,2014,0,Total,69398,9195,"Census Tract 119, King County, WA",14000US53033011900,S
1555,2014,2014,0,Total,63026,9359,"Census Tract 104.01, King County, WA",14000US53033010401,R
1558,2014,2014,0,Total,38989,10914,"Census Tract 118, King County, WA",14000US53033011800,S
1559,2014,2014,0,Total,79655,11978,"Census Tract 104.02, King County, WA",14000US53033010402,R
1562,2014,2014,0,Total,60768,10666,"Census Tract 117, King County, WA",14000US53033011700,S
1563,2014,2014,0,Total,59031,6946,"Census Tract 105, King County, WA",14000US53033010500,W
1564,2014,2014,0,Total,100588,7422,"Census Tract 116, King County, WA",14000US53033011600,W
1565,2014,2014,0,Total,85179,15760,"Census Tract 106, King County, WA",14000US53033010600,W
1568,2014,2014,0,Total,69429,6694,"Census Tract 115, King County, WA",14000US53033011500,W
1569,2014,2014,0,Total,52699,23803,"Census Tract 107.01, King County, WA",14000US53033010701,F
1572,2014,2014,0,Total,46267,6896,"Census Tract 114.02, King County, WA",14000US53033011402,F
1573,2014,2014,0,Total,42206,13379,"Census Tract 107.02, King County, WA",14000US53033010702,F
1574,2014,2014,0,Total,55956,11591,"Census Tract 114.01, King County, WA",14000US53033011401,F
1575,2014,2014,0,Total,68974,7748,"Census Tract 108, King County, WA",14000US53033010800,F
1578,2014,2014,0,Total,48639,9401,"Census Tract 113, King County, WA",14000US53033011300,F
1579,2014,2014,0,Total,39886,16917,"Census Tract 109, King County, WA",14000US53033010900,O
1582,2014,2014,0,Total,36875,8896,"Census Tract 112, King County, WA",14000US53033011200,F
1583,2014,2014,0,Total,29470,11499,"Census Tract 110.01, King County, WA",14000US53033011001,S
1584,2014,2014,0,Total,61905,16911,"Census Tract 111.02, King County, WA",14000US53033011102,S
1585,2014,2014,0,Total,42715,12694,"Census Tract 110.02, King County, WA",14000US53033011002,S
1591,2013,2013,0,Total,74474,17262,"Census Tract 111.02, King County, WA",14000US53033011102,S
1593,2013,2013,0,Total,44734,4172,"Census Tract 110.02, King County, WA",14000US53033011002,S
1594,2013,2013,0,Total,43295,9421,"Census Tract 112, King County, WA",14000US53033011200,F
1597,2013,2013,0,Total,27292,11505,"Census Tract 110.01, King County, WA",14000US53033011001,S
1598,2013,2013,0,Total,53182,10297,"Census Tract 113, King County, WA",14000US53033011300,F
1599,2013,2013,0,Total,47734,13593,"Census Tract 109, King County, WA",14000US53033010900,O
1601,2013,2013,0,Total,63810,9591,"Census Tract 114.01, King County, WA",14000US53033011401,F
1603,2013,2013,0,Total,69468,6973,"Census Tract 108, King County, WA",14000US53033010800,F
1604,2013,2013,0,Total,51036,9959,"Census Tract 114.02, King County, WA",14000US53033011402,F
1607,2013,2013,0,Total,40625,13294,"Census Tract 107.02, King County, WA",14000US53033010702,F
1608,2013,2013,0,Total,71029,8505,"Census Tract 115, King County, WA",14000US53033011500,W
1609,2013,2013,0,Total,50286,20046,"Census Tract 107.01, King County, WA",14000US53033010701,F
1611,2013,2013,0,Total,104375,9753,"Census Tract 116, King County, WA",14000US53033011600,W
1613,2013,2013,0,Total,82000,10678,"Census Tract 106, King County, WA",14000US53033010600,W
1614,2013,2013,0,Total,51338,9176,"Census Tract 117, King County, WA",14000US53033011700,S
1617,2013,2013,0,Total,59223,5592,"Census Tract 105, King County, WA",14000US53033010500,W
1618,2013,2013,0,Total,34745,19791,"Census Tract 118, King County, WA",14000US53033011800,S
1619,2013,2013,0,Total,87750,22550,"Census Tract 104.02, King County, WA",14000US53033010402,R
1621,2013,2013,0,Total,68846,9539,"Census Tract 119, King County, WA",14000US53033011900,S
1623,2013,2013,0,Total,58571,13328,"Census Tract 104.01, King County, WA",14000US53033010401,R
1624,2013,2013,0,Total,77857,15941,"Census Tract 120, King County, WA",14000US53033012000,W
1627,2013,2013,0,Total,48667,18009,"Census Tract 103, King County, WA",14000US53033010300,R
1628,2013,2013,0,Total,103385,20771,"Census Tract 121, King County, WA",14000US53033012100,W
1629,2013,2013,0,Total,85240,9039,"Census Tract 102, King County, WA",14000US53033010200,R
1633,2013,2013,0,Total,57750,7157,"Census Tract 101, King County, WA",14000US53033010100,R
1637,2013,2013,0,Total,59417,18006,"Census Tract 100.02, King County, WA",14000US53033010002,R
1639,2013,2013,0,Total,48924,9719,"Census Tract 100.01, King County, WA",14000US53033010001,R
1643,2013,2013,0,Total,66250,10436,"Census Tract 99, King County, WA",14000US53033009900,W
1647,2013,2013,0,Total,70640,11820,"Census Tract 98, King County, WA",14000US53033009800,W
1649,2013,2013,0,Total,89440,10932,"Census Tract 97.02, King County, WA",14000US53033009702,W
1653,2013,2013,0,Total,85262,17273,"Census Tract 97.01, King County, WA",14000US53033009701,W
1657,2013,2013,0,Total,75289,7828,"Census Tract 96, King County, WA",14000US53033009600,W
1659,2013,2013,0,Total,94840,16179,"Census Tract 95, King County, WA",14000US53033009500,R
1663,2013,2013,0,Total,49654,7195,"Census Tract 94, King County, WA",14000US53033009400,R
1667,2013,2013,0,Total,60065,5887,"Census Tract 93, King County, WA",14000US53033009300,O
1669,2013,2013,0,Total,19875,7390,"Census Tract 92, King County, WA",14000US53033009200,K
1673,2013,2013,0,Total,21750,6016,"Census Tract 91, King County, WA",14000US53033009100,K
1677,2013,2013,0,Total,45239,7103,"Census Tract 90, King County, WA",14000US53033009000,G
1679,2013,2013,0,Total,73646,11741,"Census Tract 89, King County, WA",14000US53033008900,G
1683,2013,2013,0,Total,72652,15792,"Census Tract 88, King County, WA",14000US53033008800,G
1687,2013,2013,0,Total,58632,7174,"Census Tract 87, King County, WA",14000US53033008700,G
1689,2013,2013,0,Total,40096,8525,"Census Tract 86, King County, WA",14000US53033008600,G
1693,2013,2013,0,Total,20718,5144,"Census Tract 85, King County, WA",14000US53033008500,G
1697,2013,2013,0,Total,41497,7329,"Census Tract 84, King County, WA",14000US53033008400,E
1699,2013,2013,0,Total,47356,3413,"Census Tract 83, King County, WA",14000US53033008300,E
1703,2013,2013,0,Total,47806,16317,"Census Tract 82, King County, WA",14000US53033008200,M
1707,2013,2013,0,Total,53026,29539,"Census Tract 81, King County, WA",14000US53033008100,M
1709,2013,2013,0,Total,36768,12102,"Census Tract 80.02, King County, WA",14000US53033008002,D
1713,2013,2013,0,Total,76560,9947,"Census Tract 80.01, King County, WA",14000US53033008001,D
1717,2013,2013,0,Total,49398,6114,"Census Tract 79, King County, WA",14000US53033007900,C
1719,2013,2013,0,Total,150167,29637,"Census Tract 78, King County, WA",14000US53033007800,C
1723,2013,2013,0,Total,87888,10606,"Census Tract 77, King County, WA",14000US53033007700,C
1727,2013,2013,0,Total,61329,5939,"Census Tract 76, King County, WA",14000US53033007600,C
1729,2013,2013,0,Total,52781,5576,"Census Tract 75, King County, WA",14000US53033007500,E
1733,2013,2013,0,Total,35812,5289,"Census Tract 74.02, King County, WA",14000US53033007402,E
1737,2013,2013,0,Total,62639,7805,"Census Tract 74.01, King County, WA",14000US53033007401,E
1739,2013,2013,0,Total,63652,9494,"Census Tract 73, King County, WA",14000US53033007300,D
1743,2013,2013,0,Total,51250,14458,"Census Tract 72, King County, WA",14000US53033007200,D
1747,2013,2013,0,Total,67787,6778,"Census Tract 71, King County, WA",14000US53033007100,Q
1749,2013,2013,0,Total,54615,7399,"Census Tract 70, King County, WA",14000US53033007000,Q
1753,2013,2013,0,Total,87054,23838,"Census Tract 69, King County, WA",14000US53033006900,Q
1757,2013,2013,0,Total,93438,20092,"Census Tract 68, King County, WA",14000US53033006800,Q
1759,2013,2013,0,Total,78884,6157,"Census Tract 67, King County, WA",14000US53033006700,Q
1763,2013,2013,0,Total,73622,9783,"Census Tract 66, King County, WA",14000US53033006600,D
1767,2013,2013,0,Total,83839,11583,"Census Tract 65, King County, WA",14000US53033006500,C
1769,2013,2013,0,Total,143125,22765,"Census Tract 64, King County, WA",14000US53033006400,C
1773,2013,2013,0,Total,106908,19524,"Census Tract 63, King County, WA",14000US53033006300,C
1777,2013,2013,0,Total,115038,13309,"Census Tract 62, King County, WA",14000US53033006200,C
1779,2013,2013,0,Total,72573,7905,"Census Tract 61, King County, WA",14000US53033006100,D
1783,2013,2013,0,Total,85524,11684,"Census Tract 60, King County, WA",14000US53033006000,Q
1786,2013,2013,0,Total,51823,11131,"Census Tract 111.01, King County, WA",14000US53033011101,S
1787,2013,2013,0,Total,81521,6528,"Census Tract 59, King County, WA",14000US53033005900,Q
1789,2013,2013,0,Total,64844,7697,"Census Tract 58.02, King County, WA",14000US53033005802,Q
1793,2013,2013,0,Total,65030,4219,"Census Tract 58.01, King County, WA",14000US53033005801,Q
1797,2013,2013,0,Total,79149,9399,"Census Tract 57, King County, WA",14000US53033005700,Q
1799,2013,2013,0,Total,147765,11201,"Census Tract 56, King County, WA",14000US53033005600,Q
1803,2013,2013,0,Total,68430,6551,"Census Tract 54, King County, WA",14000US53033005400,B
1807,2013,2013,0,Total,4643,3997,"Census Tract 53.02, King County, WA",14000US53033005302,U
1809,2013,2013,0,Total,11157,1813,"Census Tract 53.01, King County, WA",14000US53033005301,U
1813,2013,2013,0,Total,40352,3884,"Census Tract 52, King County, WA",14000US53033005200,B
