Year,City,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny theft,Motor vehicle theft,Arson
2015,Prosser,"5,817",7,0,1,1,5,106,18,77,11,0
2015,Pullman,"32,174",33,1,7,5,20,276,93,174,9,1
2015,Puyallup,"39,645",107,3,13,40,51,"2,734",349,"2,175",210,13
2015,Quincy,"7,499",23,0,3,4,16,380,124,229,27,1
2015,Raymond,"2,765",4,0,0,1,3,50,13,32,5,0
2015,Reardan,543,0,0,0,0,0,11,4,5,2,0
2015,Redmond,"60,542",64,0,9,18,37,"1,796",233,"1,495",68,5
2015,Renton,"100,015",300,4,41,100,155,"5,795","1,175","3,715",905,6
2015,Richland,"54,218",75,0,16,6,53,"1,368",228,"1,092",48,6
2015,Ridgefield,"6,510",5,0,1,1,3,104,22,76,6,1
2015,Ritzville,"1,671",2,0,1,0,1,71,17,51,3,0
2015,Roy,808,5,0,0,1,4,12,3,7,2,0
2015,Royal City,"2,234",2,1,0,0,1,39,13,15,11,2
2015,Ruston,802,1,0,0,1,0,22,6,16,0,1
2015,Sammamish,"52,365",12,0,5,3,4,392,79,304,9,4
2015,SeaTac,"28,418",169,5,23,63,78,"1,406",249,801,356,7
2015,Seattle,"683,700","4,093",23,144,"1,532","2,394","37,754","7,677","26,199","3,878",92
2015,Sedro Woolley,"10,808",13,0,0,2,11,413,87,298,28,0
2015,Selah,"7,505",1,0,0,0,1,91,14,70,7,0
2015,Sequim,"6,767",9,0,2,0,7,360,50,297,13,0
2015,Shelton,"9,758",45,0,5,10,30,693,90,573,30,1
2015,Shoreline,"55,690",74,0,20,24,30,"1,347",370,810,167,9
2015,Snohomish,"9,640",21,0,4,7,10,419,47,322,50,2
2015,Snoqualmie,"13,148",3,0,0,1,2,166,19,135,12,1
2015,Soap Lake,"1,594",5,0,1,0,4,28,13,6,9,0
2015,South Bend,"1,585",4,0,1,1,2,5,1,3,1,0
2015,Spokane,"212,698","1,111",12,119,333,647,"15,971","2,817","11,408","1,746",47
2015,Spokane Valley,"92,157",235,0,38,73,124,"4,779",849,"3,501",429,29
2015,Stanwood,"6,864",12,0,1,3,8,165,28,132,5,0
2015,Steilacoom,"6,228",13,0,2,0,11,58,19,38,1,0
2015,Sultan,"4,797",9,0,1,3,5,107,40,50,17,1
2015,Sumas,"1,357",1,0,1,0,0,30,0,29,1,0
2015,Sumner,"9,737",19,0,2,9,8,611,145,386,80,2
2015,Sunnyside,"16,198",25,2,3,9,11,404,59,301,44,4
2015,Tacoma,"206,884","1,694",12,147,485,"1,050","13,065","2,552","8,492","2,021",70
2015,Tenino,"1,737",1,0,1,0,0,54,12,41,1,2
2015,Tieton,"1,260",1,0,0,1,0,16,4,9,3,0
2015,Toledo,720,0,0,0,0,0,10,3,7,0,0
2015,Tonasket,"1,014",5,0,1,0,4,25,10,12,3,0
2015,Toppenish,"9,001",38,3,4,21,10,427,91,265,71,1
2015,Tukwila,"20,116",151,1,22,62,66,"3,336",209,"2,669",458,4
2015,Tumwater,"19,193",70,0,9,11,50,789,126,605,58,2
2015,Twisp,941,1,0,1,0,0,37,8,27,2,0
2015,Union Gap,"6,022",13,1,3,3,6,641,59,541,41,1
2015,University Place,"32,577",69,0,11,16,42,745,154,499,92,3
2015,Vancouver,"171,076",671,2,112,137,420,"5,554",943,"3,740",871,69
2015,Walla Walla,"31,940",175,4,18,23,130,"1,526",249,"1,182",95,17
2015,Wapato,"5,050",28,0,3,6,19,228,61,117,50,0
2015,Warden,"2,761",0,0,0,0,0,66,1,48,17,0
2015,Washougal,"15,220",24,0,2,5,17,330,54,255,21,2
2015,Wenatchee,"33,525",52,0,15,7,30,"1,154",179,912,63,4
2015,Westport,"2,002",5,0,2,0,3,113,19,91,3,0
2015,West Richland,"13,716",12,0,4,1,7,150,31,115,4,1
2015,White Salmon,"2,333",6,0,2,0,4,47,5,34,8,0
2015,Wilbur,837,1,0,0,0,1,1,0,1,0,0
2015,Winlock,"1,301",3,0,3,0,0,42,12,28,2,0
2015,Winthrop,416,0,0,0,0,0,19,7,12,0,0
2015,Woodinville,"11,476",14,0,6,3,5,395,70,298,27,4
2015,Woodland,"5,748",14,0,1,3,10,236,33,186,17,0
2015,Woodway,"1,362",0,0,0,0,0,24,9,15,0,0
2015,Yakima,"93,798",514,7,51,126,330,"5,091","1,307","3,110",674,25
2015,Yarrow Point,"1,078",0,0,0,0,0,13,0,12,1,0
2015,Yelm,"8,592",30,0,2,7,21,439,39,369,31,0
2015,Zillah,"3,138",1,0,0,1,0,58,14,39,5,1
