Year,City,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny theft,Motor vehicle theft,Arson
2015,Aberdeen,"16,100",96,1,10,29,56,874,257,557,60,2
2015,Airway Heights,"6,652",6,0,0,6,0,353,65,263,25,0
2015,Algona,"3,158",2,0,2,0,0,71,15,49,7,0
2015,Anacortes,"16,351",13,0,3,2,8,509,84,403,22,2
2015,Arlington,"19,018",33,0,3,8,22,877,97,694,86,0
2015,Asotin,"1,299",2,0,0,0,2,22,0,22,0,0
2015,Auburn,"77,914",318,7,31,92,188,"4,235",952,"2,659",624,38
2015,Bainbridge Island,"23,351",10,0,1,1,8,317,57,254,6,3
2015,Battle Ground,"19,239",32,1,7,3,21,429,52,346,31,5
2015,Bellevue,"138,532",152,2,19,61,70,"4,331",789,"3,321",221,22
2015,Bellingham,"83,976",214,1,47,45,121,"4,067",543,"3,362",162,1
2015,Bingen,721,2,0,0,0,2,11,1,10,0,0
2015,Black Diamond,"4,383",3,0,2,0,1,51,11,38,2,0
2015,Blaine,"5,048",7,0,2,1,4,174,45,124,5,3
2015,Bonney Lake,"19,180",26,0,3,5,18,452,99,330,23,2
2015,Bothell,"37,346",34,0,2,11,21,"1,090",195,819,76,1
2015,Bremerton,"38,755",207,1,36,37,133,"1,612",301,"1,174",137,6
2015,Brewster,"2,349",5,0,2,0,3,23,4,16,3,1
2015,Brier,"6,521",2,0,0,2,0,86,24,57,5,0
2015,Buckley,"5,051",12,0,3,0,9,93,18,70,5,3
2015,Burien,"50,701",199,0,40,75,84,"2,397",504,"1,348",545,19
2015,Burlington,"8,610",19,1,1,13,4,"1,034",106,884,44,2
2015,Camas,"21,674",17,0,7,1,9,316,58,239,19,4
2015,Carnation,"1,869",1,0,0,0,1,49,19,27,3,0
2015,Castle Rock,"2,145",4,0,0,0,4,48,10,32,6,1
2015,Centralia,"16,632",63,1,14,22,26,830,145,622,63,4
2015,Chehalis,"7,261",17,0,0,7,10,519,63,425,31,2
2015,Cheney,"11,601",28,0,11,4,13,262,39,205,18,0
2015,Chewelah,"2,601",1,0,0,0,1,107,40,63,4,0
2015,Clarkston,"7,387",29,2,5,7,15,569,56,504,9,4
2015,Cle Elum,"2,783",8,0,2,0,6,109,35,70,4,1
2015,Clyde Hill,"3,251",0,0,0,0,0,51,7,42,2,0
2015,Colfax,"2,835",7,0,2,0,5,69,15,50,4,1
2015,College Place,"9,046",12,0,5,0,7,291,41,236,14,1
2015,Colville,"4,714",2,0,1,1,0,102,9,89,4,0
2015,Connell,"5,746",7,0,3,0,4,36,13,22,1,0
2015,Cosmopolis,"1,575",0,0,0,0,0,31,12,18,1,0
2015,Coulee Dam,"1,089",0,0,0,0,0,22,6,13,3,0
2015,Coupeville,"1,866",5,0,0,0,5,22,9,13,0,0
2015,Covington,"19,532",26,1,10,8,7,700,121,543,36,6
2015,Des Moines,"31,335",112,3,18,53,38,963,167,614,182,1
2015,Dupont,"9,597",9,0,1,1,7,76,13,60,3,1
2015,Duvall,"7,882",2,0,0,0,2,49,8,38,3,1
2015,East Wenatchee,"13,575",13,1,1,2,9,419,63,330,26,3
2015,Eatonville,"2,893",7,0,1,0,6,47,13,28,6,1
2015,Edgewood,"9,844",10,0,0,2,8,222,84,121,17,0
2015,Edmonds,"41,187",63,0,8,18,37,"1,057",207,760,90,6
2015,Ellensburg,"18,899",26,0,5,7,14,579,95,453,31,3
2015,Elma,"2,997",4,0,1,0,3,134,34,91,9,0
2015,Enumclaw,"11,657",5,0,2,1,2,327,51,240,36,0
2015,Ephrata,"8,114",11,0,0,4,7,392,73,290,29,1
2015,Everett,"107,633",422,5,44,148,225,"6,198",974,"4,316",908,33
2015,Everson,"4,050",0,0,0,0,0,33,1,31,1,0
2015,Federal Way,"94,424",368,4,43,151,170,"5,106",662,"3,698",746,14
2015,Ferndale,"13,029",17,0,2,1,14,304,51,239,14,0
2015,Fife,"9,642",93,0,12,25,56,763,127,528,108,0
2015,Fircrest,"6,701",11,0,0,3,8,168,37,115,16,1
2015,Forks,"3,759",17,0,4,1,12,100,22,77,1,0
2015,Gig Harbor,"8,724",27,0,1,9,17,470,85,362,23,3
2015,Goldendale,"3,433",14,0,2,2,10,202,40,150,12,6
2015,Grand Coulee,"1,056",2,0,0,1,1,60,23,31,6,1
2015,Grandview,"11,201",15,1,2,3,9,203,60,124,19,0
2015,Granger,"3,430",4,0,0,2,2,89,28,47,14,0
2015,Hoquiam,"8,307",14,0,1,2,11,278,57,206,15,0
2015,Ilwaco,898,0,0,0,0,0,14,2,8,4,0
2015,Issaquah,"34,999",10,0,0,9,1,"1,082",110,918,54,1
2015,Kalama,"2,349",3,0,1,0,2,33,7,21,5,0
2015,Kelso,"11,756",70,0,15,12,43,597,81,462,54,4
2015,Kenmore,"22,176",14,0,9,3,2,323,92,198,33,6
2015,Kennewick,"78,214",155,3,42,24,86,"2,223",348,"1,760",115,29
2015,Kent,"127,259",338,5,61,144,128,"6,169",905,"4,257","1,007",19
2015,Kettle Falls,"1,590",2,0,0,2,0,31,6,22,3,0
2015,Kirkland,"87,040",77,0,21,16,40,"1,747",277,"1,351",119,11
2015,Kittitas,"1,425",1,0,0,0,1,9,2,7,0,0
2015,La Center,"3,134",1,0,0,1,0,31,2,26,3,0
2015,Lacey,"46,193",97,0,22,27,48,"1,667",266,"1,262",139,11
2015,Lake Forest Park,"13,327",8,0,1,3,4,296,71,211,14,0
2015,Lake Stevens,"30,815",65,0,10,6,49,660,103,490,67,3
2015,Lakewood,"59,958",414,0,43,90,281,"2,656",537,"1,865",254,13
2015,Liberty Lake,"8,911",3,0,1,1,1,138,41,81,16,0
2015,Long Beach,"1,335",2,0,1,0,1,46,10,32,4,0
2015,Longview,"36,401",142,1,27,35,79,"1,896",359,"1,394",143,20
2015,Lynden,"13,464",12,0,2,3,7,138,25,112,1,0
2015,Lynnwood,"36,885",81,1,5,34,41,"2,162",187,"1,822",153,2
2015,Mabton,"2,302",3,0,0,1,2,29,4,23,2,0
2015,Maple Valley,"25,741",23,0,10,2,11,446,109,314,23,7
2015,Marysville,"66,374",112,0,18,28,66,"2,427",338,"1,764",325,15
2015,Mattawa,"4,612",4,0,3,1,0,23,4,14,5,0
2015,Medina,"3,243",1,0,0,0,1,75,8,63,4,0
2015,Mercer Island,"24,737",5,0,2,1,2,545,83,444,18,4
2015,Mill Creek,"19,441",21,1,2,6,12,391,72,281,38,4
2015,Milton,"7,420",9,0,0,1,8,249,36,191,22,0
2015,Monroe,"18,046",68,1,8,16,43,752,55,615,82,0
2015,Montesano,"3,834",3,0,1,2,0,65,11,54,0,1
2015,Morton,"1,115",3,0,0,0,3,21,9,12,0,0
2015,Moses Lake,"22,026",110,1,20,29,60,"1,557",269,"1,127",161,3
2015,Mossyrock,742,2,0,0,0,2,10,3,6,1,0
2015,Mountlake Terrace,"21,051",32,1,2,15,14,568,108,374,86,1
2015,Mount Vernon,"33,474",73,1,13,26,33,"1,394",205,"1,102",87,5
2015,Moxee,"3,871",3,0,1,0,2,27,4,19,4,1
2015,Mukilteo,"21,171",27,0,2,6,19,570,120,398,52,2
2015,Napavine,"1,782",1,0,0,0,1,17,4,12,1,0
2015,Newcastle,"11,413",2,0,1,0,1,265,84,146,35,0
2015,Normandy Park,"6,682",5,0,1,2,2,146,31,105,10,0
2015,North Bend,"6,779",5,0,1,2,2,243,20,216,7,0
2015,Oak Harbor,"22,336",20,0,5,4,11,246,46,193,7,1
2015,Oakville,658,0,0,0,0,0,25,10,14,1,0
2015,Ocean Shores,"5,638",12,0,1,1,10,133,55,72,6,0
2015,Odessa,858,0,0,0,0,0,4,0,4,0,0
2015,Olympia,"49,875",203,0,26,46,131,"2,309",406,"1,692",211,6
2015,Omak,"4,847",11,0,2,2,7,262,51,194,17,1
2015,Oroville,"1,676",7,0,0,0,7,85,23,59,3,0
2015,Orting,"7,401",11,0,2,3,6,93,18,65,10,1
2015,Othello,"7,785",20,0,3,5,12,309,54,225,30,3
2015,Pacific,"7,199",9,0,3,4,2,126,21,69,36,1
2015,Pasco,"70,458",159,3,23,40,93,"1,493",302,"1,064",127,31
2015,Port Angeles,"19,304",90,0,21,12,57,"1,092",189,831,72,6
2015,Port Orchard,"13,535",68,0,15,10,43,781,125,618,38,2
2015,Port Townsend,"9,288",34,0,4,2,28,256,71,180,5,2
2015,Poulsbo,"9,809",9,0,0,2,7,351,55,279,17,0
