Year,City,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny theft,Motor vehicle theft,Arson
2011,Shelton,"9,988",74,0,14,8,52,768,167,519,82,1
2011,Shoreline,"53,839",84,0,16,34,34,"1,692",351,"1,210",131,11
2011,Snohomish,"9,241",23,0,5,2,16,431,85,321,25,3
2011,Snoqualmie,"10,837",5,0,1,0,4,144,19,112,13,1
2011,Soap Lake,"1,538",2,0,0,0,2,27,12,14,1,0
2011,South Bend,"1,663",3,0,1,0,2,12,6,6,0,0
2011,Spokane,"212,194","1,304",4,84,484,732,"15,039","3,030","10,231","1,778",72
2011,Spokane Valley,"91,163",175,0,22,58,95,"5,001",917,"3,613",471,17
2011,Stanwood,"6,329",12,0,2,4,6,188,46,140,2,0
2011,Steilacoom,"6,079",16,0,0,1,15,51,18,30,3,0
2011,Sumas,"1,328",1,0,0,0,1,27,5,22,0,0
2011,Sumner,"9,599",30,0,4,11,15,532,113,371,48,3
2011,Sunnyside,"16,107",45,0,4,5,36,676,153,430,93,1
2011,Tacoma,"201,510","1,507",11,125,446,925,"12,062","2,709","7,228","2,125",80
2011,Tenino,"1,722",2,0,0,0,2,40,10,27,3,1
2011,Tieton,"1,210",1,0,0,0,1,14,9,4,1,0
2011,Tonasket,"1,048",3,0,0,0,3,48,14,30,4,1
2011,Toppenish,"9,089",29,1,5,13,10,540,127,358,55,5
2011,Tukwila,"19,407",190,0,16,95,79,"2,884",315,"2,140",429,6
2011,Tumwater,"17,644",44,1,6,7,30,552,119,403,30,3
2011,Twisp,933,2,0,0,0,2,27,7,15,5,0
2011,Union Gap,"6,142",36,0,3,12,21,662,88,523,51,1
2011,University Place,"31,633",86,1,8,34,43,733,222,449,62,5
2011,Vancouver,"164,329",633,9,102,185,337,"6,447",950,"4,629",868,33
2011,Walla Walla,"32,229",130,3,22,20,85,"1,383",244,"1,104",35,11
2011,Wapato,"5,075",37,1,7,12,17,323,143,130,50,3
2011,Warden,"2,734",1,0,0,0,1,27,7,12,8,0
2011,Washougal,"14,316",36,2,8,3,23,276,39,225,12,10
2011,Wenatchee,"32,426",87,2,5,22,58,"1,315",197,"1,056",62,2
2011,Westport,"2,132",0,0,0,0,0,72,17,53,2,0
2011,West Richland,"11,996",19,0,4,0,15,166,52,108,6,1
2011,White Salmon,"2,259",0,0,0,0,0,55,5,48,2,0
2011,Wilbur,898,2,0,0,0,2,13,4,9,0,0
2011,Winlock,"1,360",5,0,0,1,4,35,11,23,1,0
2011,Winthrop,400,1,0,1,0,0,11,2,9,0,0
2011,Woodinville,"11,110",11,0,2,2,7,368,87,255,26,0
2011,Woodland,"5,595",20,0,2,3,15,159,19,125,15,3
2011,Woodway,"1,328",1,0,0,1,0,18,7,11,0,0
2011,Yakima,"92,496",481,6,48,156,271,"5,120","1,619","2,841",660,17
2011,Yarrow Point,"1,017",0,0,0,0,0,11,2,9,0,0
2011,Yelm,"6,955",17,0,4,8,5,283,52,217,14,0
2011,Zillah,"3,011",7,0,2,4,1,79,17,55,7,0
