기간	자치구	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적
기간	자치구	출동건수	출동건수	출동건수	출동건수	출동건수	출동건수	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원
기간	자치구	계	처리	처리	처리	처리	미처리(자체처리허위등)	사상별	사상별	사상별	사상별	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원
기간	자치구	계	계	인명구조	안전조치	기타활동	미처리(자체처리허위등)	계	사망	부상	기타	계	화재	교통사고	수난사고	기계사고	건물사고	승강기사고	산악사고	갇힘사고	폭발사고	기타
2010	동작구	2,936	2,452	266	1,731	455	484	373	9	71	293	373	25	33	11	6	1	104	1	114	-	78
2010	관악구	4,286	3,456	590	1,666	1,200	830	750	9	194	547	750	22	24	-	11	1	196	194	210	-	92
2010	서초구	4,252	3,239	360	2,046	833	1,013	537	7	177	353	537	21	111	15	2	2	186	39	64	-	97
2010	강남구	4,943	3,753	526	1,187	2,040	1,190	763	14	205	544	763	70	86	20	13	4	296	21	182	-	71
2010	송파구	5,171	3,899	516	2,178	1,205	1,272	696	23	163	510	696	49	107	54	14	-	183	9	148	-	132
2010	강동구	3,953	3,349	406	1,108	1,835	604	498	16	63	419	498	14	23	7	6	2	149	5	204	-	88
2010	기타	32	19	1	7	11	13	1	-	1	-	1	-	-	-	-	-	-	1	-	-	-
2011	합계	97,263	80,348	11,134	43,459	25,755	16,915	19,465	305	3,564	15,596	19,465	1,773	1,598	530	176	992	6,815	1,110	3,573	18	2,880
2011	종로구	3,146	2,489	371	1,824	294	657	721	4	170	547	721	26	39	-	4	32	324	132	59	-	105
2011	중구	2,551	2,105	223	761	1,121	446	395	2	62	331	395	23	30	-	10	8	230	2	54	-	38
