기간	자치구	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적
기간	자치구	출동건수	출동건수	출동건수	출동건수	출동건수	출동건수	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원
기간	자치구	계	처리	처리	처리	처리	미처리(자체처리허위등)	사상별	사상별	사상별	사상별	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원
기간	자치구	계	계	인명구조	안전조치	기타활동	미처리(자체처리허위등)	계	사망	부상	기타	계	화재	교통사고	수난사고	기계사고	건물사고	승강기사고	산악사고	갇힘사고	폭발사고	기타
2016	구로구	5,611	4,847	566	4,063	218	764	599	6	47	546	599	22	45	2	5	-	265	3	184	-	73
2016	금천구	3,721	3,099	311	2,537	251	622	371	5	62	304	371	7	35	-	4	-	154	17	107	1	46
2016	영등포구	6,951	6,451	1,239	4,882	330	500	1,495	22	209	1,264	1,495	66	104	329	9	6	511	-	290	-	180
2016	동작구	4,350	3,686	513	3,079	94	664	621	7	94	520	621	18	75	12	11	-	223	2	203	-	77
2016	관악구	6,690	5,413	900	4,290	223	1,277	1,336	21	161	1,154	1,336	101	39	-	4	1	354	173	342	-	322
2016	서초구	8,390	6,603	705	5,633	265	1,787	839	12	116	711	839	58	90	30	14	1	339	38	140	-	129
2016	강남구	10,447	8,286	1,257	6,424	605	2,161	1,207	11	166	1,030	1,207	70	92	40	20	3	401	9	350	-	222
2016	송파구	6,389	4,897	782	3,478	637	1,492	904	25	97	782	904	32	81	65	9	-	270	5	309	4	129
2016	강동구	4,444	3,824	704	2,671	449	620	821	12	118	691	821	17	68	27	4	5	345	-	254	-	101
2016	기타	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	합계	163,055	143,028	18,950	118,046	6,032	20,027	23,373	318	2,881	20,174	23,373	1,183	1,996	827	255	26	8,464	973	5,734	1	3,914
2017	종로구	5,872	5,074	434	4,428	212	798	643	12	133	498	643	8	44	9	5	10	151	106	110	-	200
2017	중구	4,810	4,319	471	3,715	133	491	702	8	43	651	702	17	37	-	7	-	432	-	130	-	79
2017	용산구	5,240	4,685	702	3,747	236	555	845	19	92	734	845	29	60	125	1	-	357	-	163	-	110
2017	성동구	4,461	4,071	611	3,097	363	390	719	14	99	606	719	60	89	33	10	2	233	-	165	-	127
2017	광진구	4,857	4,382	844	3,045	493	475	1,021	15	114	892	1,021	68	113	59	3	3	294	34	282	-	165
2017	동대문구	6,557	5,720	654	4,826	240	837	811	12	82	717	811	31	80	-	5	-	365	4	222	-	104
2017	중랑구	6,189	5,220	569	4,421	230	969	692	18	104	570	692	108	45	2	5	-	234	29	178	-	91
2017	성북구	6,506	5,635	560	4,874	201	871	717	9	134	574	717	20	81	-	3	-	271	28	197	-	117
2017	강북구	4,964	4,493	478	3,803	212	471	541	6	99	436	541	17	25	-	5	1	199	56	148	-	90
2017	도봉구	4,931	4,580	833	3,538	209	351	1,123	10	199	914	1,124	46	59	3	-	2	212	201	234	-	367
2017	노원구	7,532	6,908	1,060	5,659	189	624	1,685	14	155	1,516	1,684	85	108	5	4	1	663	77	467	-	274
2017	은평구	7,406	6,575	799	5,592	184	831	846	12	137	697	846	16	50	-	2	-	276	128	267	-	107
2017	서대문구	5,317	4,608	620	3,775	213	709	630	6	70	554	630	35	62	1	2	-	244	21	158	-	107
2017	마포구	7,181	6,512	917	5,430	165	669	1,259	20	135	1,104	1,259	26	111	128	2	-	533	-	258	-	201
2017	양천구	5,589	5,068	494	4,460	114	521	869	4	40	825	869	100	39	2	-	-	439	-	200	-	89
2017	강서구	8,278	7,406	961	6,354	91	872	964	16	73	875	964	27	97	21	4	-	407	6	286	-	116
2017	구로구	6,060	5,435	724	4,539	172	625	900	10	81	809	901	62	57	1	7	1	389	3	256	-	125
2017	금천구	3,812	3,263	373	2,782	108	549	431	2	68	361	430	33	26	-	5	-	182	24	119	1	40
2017	영등포구	8,159	7,591	1,397	5,939	255	568	1,651	36	271	1,344	1,651	134	186	274	13	-	376	-	327	-	341
2017	동작구	4,931	4,359	486	3,704	169	572	591	21	90	480	591	39	90	28	7	-	158	3	178	-	88
2017	관악구	7,251	6,325	902	5,152	271	926	1,303	6	165	1,132	1,303	48	64	4	3	-	346	202	348	-	288
2017	서초구	8,659	7,192	873	6,008	311	1,467	892	16	98	778	892	48	85	30	5	-	398	33	167	-	126
2017	강남구	12,689	10,224	1,428	8,356	440	2,465	1,393	9	138	1,246	1,444	36	169	32	8	6	580	8	337	-	268
2017	송파구	9,479	7,697	927	6,241	529	1,782	1,177	12	158	1,007	1,177	77	161	44	146	-	369	8	236	-	136
2017	강동구	6,324	5,685	833	4,560	292	639	968	11	103	854	917	13	58	26	3	-	356	2	301	-	158
2017	기타	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	합계	163,110	141,050	17,699	118,169	5,182	22,060	18,856	307	2,224	16,325	18,856	743	1,157	895	112	6	7,347	966	4,423	1	3,206
2018	종로구	6,111	5,364	439	4,721	204	747	514	5	96	413	514	26	28	-	4	-	181	77	84	-	114
2018	중구	5,226	4,705	466	4,107	132	521	688	7	65	616	688	38	24	-	11	-	351	2	147	-	115
2018	용산구	5,391	4,629	585	3,814	230	762	558	12	47	499	558	24	25	103	1	-	193	-	92	-	120
2018	성동구	4,804	4,319	516	3,567	236	485	604	12	98	494	604	12	56	29	7	-	253	-	151	-	96
2018	광진구	4,483	3,999	780	2,846	373	484	717	16	64	637	717	82	40	61	4	-	176	31	202	1	120
2018	동대문구	6,533	5,682	645	4,858	179	851	712	10	54	648	712	10	58	1	4	-	340	4	188	-	107
2018	중랑구	5,887	4,995	569	4,097	329	892	496	11	69	416	496	35	36	6	5	1	163	18	152	-	80
2018	성북구	6,118	5,210	399	4,688	123	908	413	6	60	347	413	6	34	1	3	-	162	27	118	-	62
2018	강북구	5,032	4,473	469	3,820	184	559	468	2	96	370	468	12	15	-	1	-	180	80	113	-	67
2018	도봉구	4,805	4,433	739	3,508	186	372	1,177	14	154	1,009	1,177	47	30	2	1	-	245	168	219	-	465
2018	노원구	6,916	6,237	765	5,374	98	679	1,054	15	110	929	1,054	40	82	11	3	-	464	93	235	-	126
2018	은평구	7,183	6,300	677	5,530	93	883	745	12	165	568	745	14	24	-	1	-	216	171	233	-	86
2018	서대문구	5,333	4,534	561	3,837	136	799	630	9	110	511	630	25	72	-	7	-	186	28	174	-	138
2018	마포구	7,200	6,452	935	5,352	165	748	820	11	60	749	820	12	48	142	2	-	297	-	184	-	135
2018	양천구	5,345	4,877	385	4,377	115	468	547	3	28	516	547	13	20	-	1	-	351	2	91	-	69
2018	강서구	8,469	7,679	889	6,705	85	790	845	24	100	721	845	25	72	19	3	-	364	3	243	-	116
2018	구로구	6,228	5,688	801	4,688	199	540	767	9	52	706	767	17	28	-	6	3	434	8	194	-	77
2018	금천구	4,065	3,585	440	3,045	100	480	409	2	64	343	409	33	23	-	11	-	180	24	100	-	38
2018	영등포구	8,735	8,049	1,568	6,246	235	686	1,654	43	201	1,410	1,654	72	102	364	8	-	511	-	292	-	305
2018	동작구	5,015	4,327	437	3,726	164	688	567	19	36	512	567	14	26	28	3	1	239	3	176	-	77
2018	관악구	7,792	6,568	902	5,469	197	1,224	988	10	142	836	988	40	43	1	5	1	313	188	272	-	125
2018	서초구	8,779	7,040	888	5,902	250	1,739	745	10	78	657	745	41	76	13	1	-	350	28	121	-	115
2018	강남구	12,065	9,069	1,154	7,659	256	2,996	1,035	11	85	939	1,035	42	53	28	6	-	467	4	268	-	167
2018	송파구	8,994	6,939	943	5,512	484	2,055	916	23	99	794	916	38	89	47	9	-	372	2	202	-	157
2018	강동구	6,595	5,893	746	4,719	428	702	786	11	91	684	786	25	53	39	5	-	359	5	171	-	129
2018	기타	6	4	1	2	1	2	1	-	-	1	1	-	-	-	-	-	-	-	1	-	-
